GCF_003469635.1_ASM346963v1_genomic	SGB516	Parabacteroides_merdae
GCF_003490825.1_ASM349082v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000793745.1_AZPAE14920_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000532695.1_Stap_aure_M1134_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003724715.1_INS-Nm1170_genomic	SGB513	Neisseria_gonorrhoeae
GCF_003494495.1_ASM349449v1_genomic	SGB511	Haemophilus_influenzae
SAMEA1876776	SGB598	Streptococcus_pyogenes
GCF_000797345.1_AZPAE14711_genomic	SGB359	Pseudomonas_aeruginosa
GCF_003935225.1_ASM393522v1_genomic	SGB597	Serratia_ureilytica
GCF_000240665.1_ASM24066v2_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000605805.1_Stap_aure_T83543_V1_genomic	SGB185	Staphylococcus_aureus
SAMN03325972	SGB184	Citrobacter_freundii
GCF_000359965.1_Stap_aure_M0006_V1_genomic	SGB185	Staphylococcus_aureus
SAMN09435199	SGB603	Enterococcus_faecium
0809_588_1_1_MRSIHK9_S788-bin_1	SGB481	Staphylococcus_epidermidis
SAMN09435192	SGB603	Enterococcus_faecium
SAMN09435191	SGB603	Enterococcus_faecium
SAMN09435196	SGB603	Enterococcus_faecium
SAMN09435197	SGB603	Enterococcus_faecium
SAMN09435194	SGB603	Enterococcus_faecium
GCF_009024805.1_ASM902480v1_genomic	SGB183	Bacteroides_stercoris
GCF_003060705.1_ASM306070v1_genomic	SGB178	Lactobacillus_brevis
CM_B04_S794-bin_1	SGB266	Lactobacillus_crispatus
GCF_000549565.1_Stap_aure_M1349_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001055095.1_ASM105509v1_genomic	SGB342	Haemophilus_parainfluenzae
GCF_001294565.1_ASM129456v1_genomic	SGB597	Serratia_ureilytica
GCF_000558065.1_Stap_aure_M0607_V1_genomic	SGB185	Staphylococcus_aureus
GCF_004368725.1_ASM436872v1_genomic	SGB343	Burkholderia_cenocepacia
GCF_000548565.1_Stap_aure_M1416_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000604545.1_Stap_aure_M32669_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003496895.1_ASM349689v1_genomic	SGB511	Haemophilus_influenzae
GCF_000607045.1_Stap_aure_W75262_V1_genomic	SGB185	Staphylococcus_aureus
SAMN04283650	SGB344	Bacillus_subtilis
SAMN09631734	SGB345	Streptococcus_mitis
SAMN09631735	SGB338	Streptococcus_mitis
SAMN09631737	SGB339	Streptococcus_mitis
SAMN09631730	SGB340	Streptococcus_mitis
SAMN09631731	SGB341	Streptococcus_mitis
SAMN09631732	SGB347	Streptococcus_mitis
SAMN09631733	SGB348	Streptococcus_mitis
GCF_001992915.1_ASM199291v1_genomic	SGB343	Burkholderia_cenocepacia
GCF_002266405.1_ASM226640v1_genomic	SGB485	Enterobacter_cloacae
GCF_000596345.1_Stap_aure_DAR5863_V1_genomic	SGB185	Staphylococcus_aureus
SAMN03197926	SGB481	Staphylococcus_epidermidis
GCF_900035265.1_14412_4_20_genomic	SGB511	Haemophilus_influenzae
SAMEA864240	SGB598	Streptococcus_pyogenes
SAMEA864241	SGB598	Streptococcus_pyogenes
SAMEA864242	SGB598	Streptococcus_pyogenes
SAMEA864243	SGB598	Streptococcus_pyogenes
SAMEA864244	SGB598	Streptococcus_pyogenes
GCF_900407525.1_PTHi-12411_genomic	SGB511	Haemophilus_influenzae
GCF_005845255.1_ASM584525v1_genomic	SGB484	Roseburia_hominis
GCF_000603145.1_Stap_aure_H47139_V1_genomic	SGB185	Staphylococcus_aureus
SAMEA864248	SGB598	Streptococcus_pyogenes
SAMEA864249	SGB598	Streptococcus_pyogenes
GCF_002096535.1_ASM209653v1_genomic	SGB487	Streptococcus_oralis
GCA_900173245	SGB486	Klebsiella_pneumoniae
SAMN03217754	SGB489	Haemophilus_haemolyticus
GCF_003842385.1_INS-Nm1078_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000163095.1_ASM16309v1_genomic	SGB488	Pediococcus_acidilactici
GCF_000949245.1_SG099Q_genomic	SGB491	Streptococcus_gallolyticus
SAMN02325127	SGB481	Staphylococcus_epidermidis
GCF_001623955.1_ASM162395v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000555825.1_Stap_aure_M0420_V1_genomic	SGB185	Staphylococcus_aureus
GCF_002987585.1_ASM298758v1_genomic	SGB511	Haemophilus_influenzae
GCF_003942405.1_ASM394240v1_genomic	SGB490	Streptococcus_sanguinis
GCF_900199935.1_B114_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000796585.1_AZPAE12137_genomic	SGB359	Pseudomonas_aeruginosa
GCA_000738255.1_Cj21382_genomic	SGB493	Corynebacterium_jeikeium
GCF_003958295.1_ASM395829v1_genomic	SGB597	Serratia_ureilytica
SAMN09273503	SGB603	Enterococcus_faecium
GCF_001594325.2_ASM159432v2_genomic	SGB359	Pseudomonas_aeruginosa
SAMN09273504	SGB603	Enterococcus_faecium
SAMN09273507	SGB603	Enterococcus_faecium
SAMN09273506	SGB603	Enterococcus_faecium
GCF_001450525.1_WH-SGI-V-07173_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000559885.1_Stap_aure_F54467_V1_genomic	SGB185	Staphylococcus_aureus
JKR_P2_17_A03_S785_001-bin_1	SGB492	noRef
GCF_000160535.1_ASM16053v1_genomic	SGB055	Prevotella_bergensis
GCF_000554365.1_Stap_aure_M0296_V1_genomic	SGB185	Staphylococcus_aureus
GCA_002885465.1_ASM288546v1_genomic	SGB056	Akkermansia_muciniphila
GCF_900200815.1_B280_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000571615.1_Stap_aure_F77960_V1_genomic	SGB185	Staphylococcus_aureus
GCF_008931425.1_ASM893142v1_genomic	SGB597	Serratia_ureilytica
GCF_002750615.1_ASM275061v1_genomic	SGB391	Lactobacillus_sakei
SAMN02442661	SGB053	Streptococcus_thermophilus
GCF_001452645.1_WH-SGI-V-07700_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000594725.1_Stap_aure_H84958_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001437195.1_ASM143719v1_genomic	SGB054	Lactobacillus_delbrueckii
GCF_000541335.1_Stap_aure_SJOS6144_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000573405.1_Stap_aure_M1314_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000260015.1_SaureusIS157v1.0_genomic	SGB185	Staphylococcus_aureus
GCF_000579215.1_Stap_aure_F16107_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000481885.1_Pseu_aeru_CF5_V1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_001539685.1_12082_3_79_genomic	SGB597	Serratia_ureilytica
GCF_003492545.1_ASM349254v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_003203195.1_ASM320319v1_genomic	SGB511	Haemophilus_influenzae
GCF_003495285.1_ASM349528v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN03196961	SGB481	Staphylococcus_epidermidis
GCF_001994895.1_ASM199489v1_genomic	SGB343	Burkholderia_cenocepacia
G3_bin_2	SGB521	Lactobacillus_iners
GCF_003490275.1_ASM349027v1_genomic	SGB511	Haemophilus_influenzae
SAMN09582630	SGB059	Bacillus_subtilis
GCF_000249015.1_ASM24901v2_genomic	SGB185	Staphylococcus_aureus
GCF_003494935.1_ASM349493v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000758185.1_LTH5448_genomic	SGB057	Lactobacillus_reuteri
GCF_002096415.1_ASM209641v1_genomic	SGB058	Streptococcus_oralis
GCF_000528595.1_Stap_aure_M0699_V1_genomic	SGB185	Staphylococcus_aureus
GCF_002318055.1_ASM231805v1_genomic	SGB513	Neisseria_gonorrhoeae
F4_1630_1235_1_CBA1_S227-bin_1-SPLIT	SGB061	Prevotella_bivia
GCF_003798985.1_ASM379898v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN07638053	SGB603	Enterococcus_faecium
GCF_900203525.1_22522_genomic	SGB513	Neisseria_gonorrhoeae
GCF_003496325.1_ASM349632v1_genomic	SGB513	Neisseria_gonorrhoeae
NZ_SEST01000002.1	SGB062	UPEC
SRR5273947_bin_1	SGB266	Lactobacillus_crispatus
C0140A2	SGB001	Lactobacillus_gasseri
GCF_000262875.1_VRSA04_3_genomic	SGB185	Staphylococcus_aureus
MG_205819_bin_26	SGB240	noRef
GCF_001588895.1_ASM158889v1_genomic	SGB490	Streptococcus_sanguinis
SAMN02598313	SGB053	Streptococcus_thermophilus
GCA_002885015.1_ASM288501v1_genomic	SGB239	Akkermansia_muciniphila
GCF_003996235.1_ASM399623v1_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000264705.1_EntClo_1.0_genomic	SGB238	Enterobacter_cloacae
GCF_002331985.1_ASM233198v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN00116890	SGB481	Staphylococcus_epidermidis
GCF_001539005.1_12082_5_33_genomic	SGB597	Serratia_ureilytica
SAMN02644628	SGB513	Neisseria_gonorrhoeae
0756_546_1_1_CBA11_S890-bin_1	SGB237	Peptostreptococcus_anaerobius
GCF_000542355.1_Stap_aure_UCIM6119_V1_genomic	SGB185	Staphylococcus_aureus
SAMN02644626	SGB513	Neisseria_gonorrhoeae
GCF_003494595.1_ASM349459v1_genomic	SGB511	Haemophilus_influenzae
GCF_001974965.1_ASM197496v1_genomic	SGB513	Neisseria_gonorrhoeae
GCA_002885355.1_ASM288535v1_genomic	SGB056	Akkermansia_muciniphila
SAMN02567408	SGB598	Streptococcus_pyogenes
SAMN02567402	SGB598	Streptococcus_pyogenes
SAMN02567401	SGB598	Streptococcus_pyogenes
C0081A1	SGB236	noRef
SAMN02567406	SGB598	Streptococcus_pyogenes
SAMN06606133	SGB235	Lactobacillus_acidophilus
SAMN05631052	SGB235	Lactobacillus_acidophilus
GCF_008180275.1_ASM818027v1_genomic	SGB513	Neisseria_gonorrhoeae
0795_578_1_1_MRSI5_S834-bin_1	SGB265	Bifidobacterium_bifidum
GCF_001451225.1_WH-SGI-V-07415_genomic	SGB359	Pseudomonas_aeruginosa
GCF_003203015.1_ASM320301v1_genomic	SGB511	Haemophilus_influenzae
GCF_001074565.1_ASM107456v1_genomic	SGB234	Streptococcus_pseudopneumoniae
GCF_900199895.1_B062_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000545065.1_Stap_aure_M0899_V1_genomic	SGB185	Staphylococcus_aureus
GCF_003432855.1_ASM343285v1_genomic	SGB513	Neisseria_gonorrhoeae
SRR6747947_bin_6	SGB233	noRef
SRS049237_bin_3	SGB521	Lactobacillus_iners
SRR6747947_bin_5	SGB403	noRef
SRR6747947_bin_2	SGB521	Lactobacillus_iners
SRS049237_bin_7	SGB266	Lactobacillus_crispatus
SAMN03081481	SGB404	Bifidobacterium_breve
SAMN03081480	SGB404	Bifidobacterium_breve
SAMN03081483	SGB404	Bifidobacterium_breve
SAMN03081482	SGB404	Bifidobacterium_breve
SAMN08517489	SGB601	Streptococcus_agalactiae
SAMN08517483	SGB601	Streptococcus_agalactiae
SAMN08517486	SGB601	Streptococcus_agalactiae
GCF_003474945.1_ASM347494v1_genomic	SGB183	Bacteroides_stercoris
GCF_002330305.1_ASM233030v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000543145.1_Stap_aure_PLAC6055_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001555415.1_ASM155541v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_002003595.1_ASM200359v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMEA3856679	SGB603	Enterococcus_faecium
GCF_001024395.1_ASM102439v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_005890445.1_ASM589044v1_genomic	SGB405	Streptococcus_pseudopneumoniae
SAMD00060984	SGB491	Streptococcus_gallolyticus
MG_199199_bin_4	SGB406	noRef
SAMN02595274	SGB407	Enterococcus_faecium
SAMN02595271	SGB603	Enterococcus_faecium
SAMN02595270	SGB407	Enterococcus_faecium
SAMEA1407120	SGB598	Streptococcus_pyogenes
SAMEA1407121	SGB598	Streptococcus_pyogenes
SAMEA3138952	SGB401	Listeria_monocytogenes
GCF_000538635.1_Stap_aure_PLAC6017_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001036265.1_ASM103626v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_002985485.1_ASM298548v1_genomic	SGB511	Haemophilus_influenzae
GCF_002984165.1_ASM298416v1_genomic	SGB511	Haemophilus_influenzae
SAMN04286973	SGB184	Citrobacter_freundii
C0010C1	SGB520	Finegoldia_magna
GCF_000535655.1_Stap_aure_M1071_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000569715.1_Stap_aure_M91141_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001444925.1_ASM144492v1_genomic	SGB359	Pseudomonas_aeruginosa
GCA_001399815	SGB486	Klebsiella_pneumoniae
SAMN03800286	SGB401	Listeria_monocytogenes
SAMN06177169	SGB506	Staphylococcus_lugdunensis
SAMN03800287	SGB401	Listeria_monocytogenes
GCF_001909645.1_ASM190964v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN06177160	SGB408	Staphylococcus_hominis
SAMN06177164	SGB409	Staphylococcus_haemolyticus
SAMEA1690323	SGB513	Neisseria_gonorrhoeae
SAMN03800282	SGB401	Listeria_monocytogenes
SAMEA1690321	SGB513	Neisseria_gonorrhoeae
0861_630_1_1_CBA6_S824-bin_1	SGB137	Gardnerella_vaginalis
GCF_000532535.1_Stap_aure_M1426_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000586735.1_Stap_aure_W85810_V1_genomic	SGB185	Staphylococcus_aureus
SAMEA4076741	SGB513	Neisseria_gonorrhoeae
GCF_001452305.1_WH-SGI-V-07645_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000528475.1_Stap_aure_M0686_V1_genomic	SGB185	Staphylococcus_aureus
SAMN03433963	SGB603	Enterococcus_faecium
GCF_000362725.1_Stap_aure_M1092_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001990345.1_ASM199034v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN02471515	SGB603	Enterococcus_faecium
SAMN02471514	SGB603	Enterococcus_faecium
SAMN02471513	SGB603	Enterococcus_faecium
GCF_900202065.1_R513_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000712555.1_LTH2584_genomic	SGB057	Lactobacillus_reuteri
GCF_900076245.1_11983_6_96_genomic	SGB238	Enterobacter_cloacae
GCF_000535835.1_Stap_aure_M0765_V1_genomic	SGB185	Staphylococcus_aureus
SAMEA3158499	SGB402	Lactobacillus_rhamnosus
SAMN05762133	SGB601	Streptococcus_agalactiae
SAMN05762135	SGB601	Streptococcus_agalactiae
SAMN05762134	SGB601	Streptococcus_agalactiae
SAMN05762136	SGB601	Streptococcus_agalactiae
GCF_001435715.1_ASM143571v1_genomic	SGB391	Lactobacillus_sakei
GCF_001992285.1_ASM199228v1_genomic	SGB343	Burkholderia_cenocepacia
MG_189662_bin_20	SGB245	Megasphaera_sp
MG_189662_bin_21	SGB244	noRef
MG_189662_bin_22	SGB246	Gardnerella_vaginalis
C0051D5	SGB266	Lactobacillus_crispatus
MG_189662_bin_24	SGB455	Gardnerella_vaginalis
C0051D3	SGB266	Lactobacillus_crispatus
MG_189662_bin_26	SGB416	Atopobium_vaginae
GCF_001086725.1_ASM108672v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000551245.1_Stap_aure_M0031_V1_genomic	SGB185	Staphylococcus_aureus
SAMN00809103	SGB603	Enterococcus_faecium
GCF_000573125.1_Stap_aure_M1334_V1_genomic	SGB185	Staphylococcus_aureus
SAMN08801533	SGB401	Listeria_monocytogenes
MG_256903_bin_1	SGB266	Lactobacillus_crispatus
MG_256903_bin_2	SGB266	Lactobacillus_crispatus
E7_1841_1391_1_CBA3_S97-bin_1-SPLIT	SGB243	Tissierellia_bacterium
SAMN08801531	SGB401	Listeria_monocytogenes
GCF_000387205.2_ASM38720v2_genomic	SGB513	Neisseria_gonorrhoeae
SAMEA51825418	SGB242	Bifidobacterium_longum
MG_1062501159_bin_1	SGB521	Lactobacillus_iners
GCF_000561185.1_Stap_aure_H24884_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000363805.1_Stap_aure_B147830_V1_genomic	SGB185	Staphylococcus_aureus
SAMN00809104	SGB603	Enterococcus_faecium
SAMEA1876559	SGB598	Streptococcus_pyogenes
SAMEA1876558	SGB598	Streptococcus_pyogenes
SAMEA1876553	SGB598	Streptococcus_pyogenes
SAMEA1876552	SGB598	Streptococcus_pyogenes
GCF_000541355.1_Stap_aure_UCIM6070_V1_genomic	SGB185	Staphylococcus_aureus
SAMEA1876557	SGB598	Streptococcus_pyogenes
SAMN00809109	SGB603	Enterococcus_faecium
SAMEA1876555	SGB598	Streptococcus_pyogenes
GCF_003355135.1_ASM335513v1_genomic	SGB597	Serratia_ureilytica
SAMN08801539	SGB401	Listeria_monocytogenes
SAMN07735159	SGB599	Bacteroides_fragilis
SAMN07735158	SGB599	Bacteroides_fragilis
SAMN04235878	SGB401	Listeria_monocytogenes
GCF_900202825.1_R913_genomic	SGB513	Neisseria_gonorrhoeae
SAMN02716635	SGB598	Streptococcus_pyogenes
SAMN02730069	SGB248	Bacteroides_fragilis
SAMEA2271937	SGB414	Chlamydia_trachomatis
C0015B2	SGB415	Lactobacillus_gasseri
GCF_000564665.1_Stap_aure_W58473_V1_genomic	SGB185	Staphylococcus_aureus
SAMEA4412703	SGB401	Listeria_monocytogenes
GCF_003494135.1_ASM349413v1_genomic	SGB511	Haemophilus_influenzae
GCF_001449805.1_WH-SGI-V-07188_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000535915.1_Stap_aure_M1385_V1_genomic	SGB185	Staphylococcus_aureus
GCF_002216345.1_ASM221634v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000571135.1_Stap_aure_M46066_V1_genomic	SGB185	Staphylococcus_aureus
SAMN10397177	SGB513	Neisseria_gonorrhoeae
SAMN10397176	SGB513	Neisseria_gonorrhoeae
SAMN10397175	SGB513	Neisseria_gonorrhoeae
SAMN10397174	SGB513	Neisseria_gonorrhoeae
SAMN10397173	SGB513	Neisseria_gonorrhoeae
SAMN04606871	SGB481	Staphylococcus_epidermidis
SAMN04606872	SGB481	Staphylococcus_epidermidis
SAMN10397170	SGB513	Neisseria_gonorrhoeae
SAMN10397179	SGB513	Neisseria_gonorrhoeae
SAMN10397178	SGB513	Neisseria_gonorrhoeae
BJ7_bin_1	SGB266	Lactobacillus_crispatus
CM_A04_S793-bin_1	SGB266	Lactobacillus_crispatus
GCF_000604505.1_Stap_aure_M32567_V1_genomic	SGB185	Staphylococcus_aureus
GCF_900039435.1_14355_4_35_genomic	SGB513	Neisseria_gonorrhoeae
C0052B2	SGB266	Lactobacillus_crispatus
C0052B1	SGB266	Lactobacillus_crispatus
GCF_003957935.1_ASM395793v1_genomic	SGB597	Serratia_ureilytica
GCF_000601885.1_Stap_aure_F12749_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000542135.1_Stap_aure_WMCS6087_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000554805.1_Stap_aure_M0333_V1_genomic	SGB185	Staphylococcus_aureus
SAMN08518897	SGB401	Listeria_monocytogenes
GCF_001007415.1_ASM100741v1_genomic	SGB359	Pseudomonas_aeruginosa
MG_205209_bin_16	SGB519	Aerococcus_christensenii
GCF_003414945.1_ASM341494v1_genomic	SGB511	Haemophilus_influenzae
GCF_002263445.1_ASM226344v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_000521905.1_Serr_marc_BIDMC_50_V1_genomic	SGB597	Serratia_ureilytica
GCF_001537805.1_12082_5_51_genomic	SGB597	Serratia_ureilytica
SAMN03198039	SGB281	Streptococcus_anginosus
GCF_000550145.1_Stap_aure_M1506_V1_genomic	SGB185	Staphylococcus_aureus
GCF_001765995.1_ASM176599v1_genomic	SGB359	Pseudomonas_aeruginosa
GCF_900075675.1_12045_5_72_genomic	SGB238	Enterobacter_cloacae
SAMN07980959	SGB413	Prevotella_intermedia
GCF_000536115.1_Stap_aure_M1362_V1_genomic	SGB185	Staphylococcus_aureus
GCF_900024435.1_14555_5_26_genomic	SGB513	Neisseria_gonorrhoeae
GCF_000602345.1_Stap_aure_H15899_V1_genomic	SGB185	Staphylococcus_aureus
GCF_000602545.1_Stap_aure_M79667_V1_genomic	SGB185	Staphylococcus_aureus
SAMN02742055	SGB401	Listeria_monocytogenes
GCF_002096215.1_ASM209621v1_genomic	SGB411	Streptococcus_oralis
SAMN06226869	SGB412	Lactococcus_lactis
SAMN06226868	SGB412	Lactococcus_lactis
GCF_005864375.1_ASM586437v1_genomic	SGB488	Pediococcus_acidilactici
SAMN06226867	SGB412	Lactococcus_lactis
SAMN06226866	SGB412	Lactococcus_lactis
SAMN06226865	SGB412	Lactococcus_lactis
GCF_000327745.2_ASM32774v2_genomic	SGB513	Neisseria_gonorrhoeae
GCF_002312765.1_ASM231276v1_genomic	SGB359	Pseudomonas_aeruginosa
SAMN08970423	SGB401	Listeria_monocytogenes
SAMN08970422	SGB401	Listeria_monocytogenes
SAMN08970421	SGB401	Listeria_monocytogenes
SAMN08970420	SGB401	Listeria_monocytogenes
GCF_002988595.1_ASM298859v1_genomic	SGB511	Haemophilus_influenzae
SAMN08970424	SGB401	Listeria_monocytogenes
MG_195374_bin_2	SGB381	Prevotella_timonensis
GCF_000596725.1_Stap_aure_W60060_V1_genomic	SGB185	Staphylococcus_aureus
MG_195374_bin_6	SGB605	Porphyromonas_somerae
MG_195374_bin_7	SGB287	noRef
GCF_001374735.1_227_2_5Pc_9_contigs_500_genomic	SGB359	Pseudomonas_aeruginosa
SAMN02741621	SGB401	Listeria_monocytogenes
SAMN02741620	SGB401	Listeria_monocytogenes
SAMN02741623	SGB401	Listeria_monocytogenes
SAMN02741622	SGB401	Listeria_monocytogenes
SAMN02741625	SGB401	Listeria_monocytogenes
SAMN02741624	SGB401	Listeria_monocytogenes
SAMN02741627	SGB401	Listeria_monocytogenes
GCF_000626595.1_ASM62659v1_genomic	SGB513	Neisseria_gonorrhoeae
SAMN02741629	SGB401	Listeria_monocytogenes
SAMN02741628	SGB401	Listeria_monocytogenes
GCF_003464145.1_ASM346414v1_genomic	SGB286	Parabacteroides_distasonis
SAMEA3888129	SGB601	Streptococcus_agalactiae
SAMEA3888128	SGB601	Streptococcus_agalactiae
SAMN10225188	SGB344	Bacillus_subtilis
SAMEA3888121	SGB601	Streptococcus_agalactiae
SAMEA3888120	SGB601	Streptococcus_agalactiae
