SGB001	C0140A4
SGB152	C0166D5
SGB153	GCA_004557455.1_ASM455745v1_genomic
SGB154	GCF_900119915.1_PRJEB16351_genomic
SGB155	GCF_003943395.1_ASM394339v1_genomic
SGB156	GCF_902364555.1_MGYG-HGUT-00224_genomic
SGB157	SAMN02463915
SGB158	GCF_001059565.1_ASM105956v1_genomic
SGB159	SAMEA2821746
SGB160	GCF_001069865.1_ASM106986v1_genomic
SGB161	GCF_000613545.1_ASM61354v1_genomic
SGB162	GCF_002160255.1_ASM216025v1_genomic
SGB163	GCF_900637225.1_50279_H01_genomic
SGB164	MG_175260_bin_18
SGB165	GCF_900111695.1_IMG-taxon_2651870308_annotated_assembly_genomic
SGB166	SRS012934_bin_1
SGB167	GCF_900155635.1_Olsenella_urinainfantis_genomic
SGB168	SAMN00116813
SGB169	GCF_902374375.1_MGYG-HGUT-01364_genomic
SGB170	GCF_000479025.1_ASM47902v1_genomic
SGB171	SAMN02850965
SGB172	SAMN05860611
SGB173	SAMN06173145
SGB174	SAMN06173147
SGB175	GCA_000149165.2_ASM14916v1_genomic
SGB176	GCF_003467035.1_ASM346703v1_genomic
SGB177	MG_4004001329_bin_51
SGB178	GCF_003060705.1_ASM306070v1_genomic
SGB179	SAMN05192582
SGB180	GCF_004347575.1_ASM434757v1_genomic
SGB181	MG_199199_bin_78
SGB182	GCF_003957255.1_ASM395725v1_genomic
SGB183	GCF_009024805.1_ASM902480v1_genomic
SGB184	SAMN03325972
SGB185	GCF_000401595.1_ASM40159v1_genomic
SGB186	GCF_002927165.1_ASM292716v1_genomic
SGB187	SAMN03198126
SGB188	GCF_001588825.1_ASM158882v1_genomic
SGB189	MG_199199_bin_43
SGB190	GCF_902364305.1_MGYG-HGUT-00199_genomic
SGB191	GCF_003253055.1_ASM325305v1_genomic
SGB192	GCF_000214475.1_ASM21447v1_genomic
SGB193	GCF_900289115.1_PRJEB23930_genomic
SGB194	SAMN03197541
SGB195	SAMN00116775
SGB196	GCF_001570965.1_ASM157096v1_genomic
SGB197	SAMN03197578
SGB198	C0127B5
SGB199	GCF_003463375.1_ASM346337v1_genomic
SGB200	GCA_001746265.2_ASM174626v2_genomic
SGB201	GCA_003470035.1_ASM347003v1_genomic
SGB202	SAMN09631729
SGB203	GCA_000434895.1_MGS287_genomic
SGB204	MG_4004001329_bin_74
SGB205	GCF_003989555.1_ASM398955v1_genomic
SGB206	SAMN09736583
SGB207	SAMN06142993
SGB208	MG_198301_bin_20
SGB209	GCF_900605015.1_PRJEB28799_genomic
SGB210	MG_4004001329_bin_19
SGB211	SAMN03956211
SGB212	C0084B2
SGB213	GCF_000223255.1_ASM22325v2_genomic
SGB214	GCF_900624775.1_82B11_genomic
SGB215	SAMN02463875
SGB216	GCF_900155655.1_Prevotella_ihuae_genomic
SGB217	NZ_CP017298.1
SGB218	GCF_902501405.1_257LVB_genomic
SGB219	MG_199199_bin_56
SGB220	MG_199199_bin_59
SGB221	GCF_001570985.1_ASM157098v1_genomic
SGB222	SAMN03842090
SGB223	SAMN02850973
SGB224	GCF_000175315.3_Acti_vis_C505_V3_genomic
SGB225	GCF_001487145.1_Anaerococcus_rubiinfantis_genomic
SGB226	GCF_900077035.1_12045_4_36_genomic
SGB227	SAMN02470673
SGB228	GCF_001457875.1_Actinomyces_ihumii_genomic
SGB229	GCF_900167315.1_IMG-taxon_2608642217_annotated_assembly_genomic
SGB230	GCF_003287495.1_ASM328749v1_genomic
SGB231	SAMN06240846
SGB232	SAMN08895436
SGB233	SRR6747947_bin_6
SGB234	GCF_001074565.1_ASM107456v1_genomic
SGB235	SAMN06606133
SGB236	C0081A1
SGB237	SAMN03854410
SGB238	GCF_000264705.1_EntClo_1.0_genomic
SGB239	GCA_002885015.1_ASM288501v1_genomic
SGB240	MG_205819_bin_26
SGB241	MG_199199_bin_32
SGB242	SAMEA51825418
SGB243	SAMN03842477
SGB244	MG_189662_bin_21
SGB245	SAMN00255229
SGB246	SAMN05578087
SGB247	MG_199199_bin_33
SGB248	SAMN02730069
SGB249	SAMN10239560
SGB250	NZ_UFUL01000001.1
SGB251	SAMEA104016177
SGB252	0756_546_1_1_CBA5_S884-bin_1
SGB253	SAMD00046316
SGB254	SAMN01828185
SGB255	SAMN06473683
SGB256	SAMN03842029
SGB257	SAMN07511404
SGB258	GCF_002159895.1_ASM215989v1_genomic
SGB259	GCF_006715025.1_ASM671502v1_genomic
SGB260	SAMN00761793
SGB261	JKR_P2_18_B03_S786_001-bin_1
SGB262	GCF_002159535.1_ASM215953v1_genomic
SGB263	SAMN03198060
SGB264	SAMN04539622
SGB265	SAMN09736996
SGB266	C0051D5
SGB267	GCF_900170005.1_PRJEB19975_genomic
SGB268	C0085C4
SGB269	GCF_003943415.1_ASM394341v1_genomic
SGB270	GCF_001006635.1_ASM100663v1_genomic
SGB271	SAMN02469614
SGB272	SAMN06473658
SGB273	GCA_900461185.1_48853_B02_genomic
SGB274	GCF_001064485.1_ASM106448v1_genomic
SGB275	GCA_003955985.1_ASM395598v1_genomic
SGB276	GCF_000960085.1_ASM96008v1_genomic
SGB277	C0103B2
SGB278	SAMN02595331
SGB279	GCF_001070715.1
SGB280	GCA_000433575.1_MGS21_genomic
SGB281	SAMN03198039
SGB282	GCF_002096695.1_ASM209669v1_genomic
SGB283	SAMN03197882
SGB284	SAMN03140396
SGB285	GCF_001579525.1_ASM157952v1_genomic
SGB286	GCF_003464145.1_ASM346414v1_genomic
SGB287	MG_195374_bin_7
SGB288	GCF_900077605.1_12045_4_86_genomic
SGB289	SAMN03854412
SGB290	GCF_003464005.1_ASM346400v1_genomic
SGB291	GCF_001068775.1_ASM106877v1_genomic
SGB292	MG_4004001329_bin_2
SGB293	DZD_CM_37_S805-bin_1
SGB294	C0170B2
SGB295	MG_4004001329_bin_7
SGB296	GCF_002018415.1_ASM201841v1_genomic
SGB297	JKR_P2_53_E07_S821_001-bin_2
SGB298	GCF_901543815.1_42731_G02_genomic
SGB299	GCF_008416365.1_ASM841636v1_genomic
SGB300	GCF_000152705.1_ASM15270v1_genomic
SGB301	MG_226813_bin_2
SGB302	GCF_002549775.1_ASM254977v1_genomic
SGB303	SAMN04325060
SGB304	GCF_000496775.1_EDP2a_genomic
SGB305	SAMN04419112
SGB306	GCF_001579645.1_ASM157964v1_genomic
SGB307	GCF_000981805.1_ASM98180v1_genomic
SGB308	MG_1062501369_bin_5
SGB309	MG_222781_bin_14
SGB310	GCF_000764955.1_ASM76495v1_genomic
SGB311	C0024D2
SGB312	GCF_902374015.1_MGYG-HGUT-01333_genomic
SGB313	SAMN07511398
SGB314	MG_198165_bin_4
SGB315	MG_198165_bin_6
SGB316	GCF_003944235.1_ASM394423v1_genomic
SGB317	SAMN02463709
SGB318	SAMN02441667
SGB319	GCF_000297495.1_ASM29749v1_genomic
SGB320	SAMN10392927
SGB321	GCF_000223335.1_ASM22333v2_genomic
SGB322	GCF_001065135.1_ASM106513v1_genomic
SGB323	GCF_004793765.1_ASM479376v1_genomic
SGB324	GCF_002918555.1_ASM291855v1_genomic
SGB325	GCF_003462815.1_ASM346281v1_genomic
SGB326	SAMN02603033
SGB327	GCF_001189515.2_ASM118951v2_genomic
SGB328	0795_578_1_1_BHK2_S425-bin_1
SGB329	MG_205819_bin_23
SGB330	GCF_000161995.1_ASM16199v1_genomic
SGB331	GCF_000308275.2_LM2_genomic
SGB332	SAMEA4588000
SGB333	C0026D4
SGB334	GCF_002549755.1_ASM254975v1_genomic
SGB335	GCF_000705535.1_BukCp6.0_genomic
SGB336	SAMN00001476
SGB337	SAMN03854353
SGB338	SAMN09631735
SGB339	SAMN09631737
SGB340	SAMN09631730
SGB341	SAMN09631731
SGB342	GCF_001055095.1_ASM105509v1_genomic
SGB343	GCF_004368725.1_ASM436872v1_genomic
SGB344	SAMN04283650
SGB345	SAMN09631734
SGB346	MG_205763_bin_37
SGB347	SAMN09631732
SGB348	SAMN09631733
SGB349	SAMN03854407
SGB350	SAMN02745244
SGB351	GCF_001062585.1_ASM106258v1_genomic
SGB352	0795_578_1_1_CBA4__S896-bin_1
SGB353	GCF_004167925.1_ASM416792v1_genomic
SGB354	GCF_008421245.1_ASM842124v1_genomic
SGB355	MG_226813_bin_7
SGB356	MG_226813_bin_3
SGB357	GCA_000437535.1_MGS629_genomic
SGB358	GCF_000468075.1_Serratia_fanticola_AU-P3_3__genomic
SGB359	GCF_000795505.1_AZPAE13858_genomic
SGB360	GCF_008329455.1_ASM832945v1_genomic
SGB361	GCF_004127215.1_ASM412721v1_genomic
SGB362	GCF_003339845.1_ASM333984v1_genomic
SGB363	GCF_003331185.1_ASM333118v1_genomic
SGB364	SAMD00078755
SGB365	SAMN00138207
SGB366	GCF_003434125.1_ASM343412v1_genomic
SGB367	GCF_000163595.1_ASM16359v1_genomic
SGB368	GCF_000424345.1_ASM42434v1_genomic
SGB369	SAMN00100747
SGB370	GCF_002550035.1_ASM255003v1_genomic
SGB371	GCA_900454365.1_58833_F01_genomic
SGB372	MG_226813_bin_11
SGB373	SAMN07267280
SGB374	C0002B3
SGB375	MG_4004001329_bin_69
SGB376	SAMN02470843
SGB377	MG_198301_bin_6
SGB378	MG_198301_bin_7
SGB379	MG_198301_bin_1
SGB380	SAMN03380727
SGB381	C0079H5
SGB382	GCF_000411155.1_Acti_euro_ACS-120-V-COL10B_V1_genomic
SGB383	GCA_000436995.1_MGS39_genomic
SGB384	GCF_003942585.1_ASM394258v1_genomic
SGB385	GCA_900101355.1_IMG-taxon_2593339225_annotated_assembly_genomic
SGB386	GCF_003401145.1_ASM340114v1_genomic
SGB387	GCF_001579175.1_ASM157917v1_genomic
SGB388	GCF_900456965.1_57675_G01_genomic
SGB389	GCF_000164635.1_ASM16463v1_genomic
SGB390	GCF_002871995.1_ASM287199v1_genomic
SGB391	GCF_000615365.1_ASM61536v1_genomic
SGB392	SAMN05150778
SGB393	SAMN00100749
SGB394	MG_185475_bin_20
SGB395	GCF_900457005.1_59449_G02_genomic
SGB396	GCF_000463315.1_B_cell_WH2_1.0_genomic
SGB397	SAMN09631739
SGB398	SAMN00001908
SGB399	GCF_000958205.1_ASM95820v1_genomic
SGB400	SRR6748192_bin_2
SGB401	SAMN04958300
SGB402	SAMEA3158499
SGB403	SRR6747947_bin_5
SGB404	SAMN03081481
SGB405	GCF_005890445.1_ASM589044v1_genomic
SGB406	MG_199199_bin_4
SGB407	SAMN02595274
SGB408	SAMN06177160
SGB409	SAMN06177164
SGB410	MG_205763_bin_3
SGB411	GCF_002096215.1_ASM209621v1_genomic
SGB412	SAMN06226869
SGB413	SAMN07980959
SGB414	SAMEA2271937
SGB415	C0015B2
SGB416	C0104B2
SGB417	SAMN03842163
SGB418	SAMN06173297
SGB419	GCF_003458765.1_ASM345876v1_genomic
SGB420	SAMN03851013
SGB421	GCF_000959945.1_ASM95994v1_genomic
SGB422	GCF_902373755.1_MGYG-HGUT-01306_genomic
SGB423	GCF_003944215.1_ASM394421v1_genomic
SGB424	GCF_002159735.1_ASM215973v1_genomic
SGB425	GCA_001434465.1_ASM143446v1_genomic
SGB426	GCA_900101835
SGB427	GCF_900322725.1_C45_genomic
SGB428	SAMN05912821
SGB429	SAMN02471857
SGB430	SAMN04446404
SGB431	GCF_900076365.1_12045_5_12_genomic
SGB432	MG_220638_bin_2
SGB433	GCF_900105025.1_IMG-taxon_2636416177_annotated_assembly_genomic
SGB434	GCF_002159935.1_ASM215993v1_genomic
SGB435	SAMN00100753
SGB436	C0041D3
SGB437	GCF_001406175.1_13414_6_27_genomic
SGB438	n3_bin_5
SGB439	GCF_000613985.1_ASM61398v1_genomic
SGB440	GCF_000210895.1_ASM21089v1_genomic
SGB441	GCF_001054195.1_ASM105419v1_genomic
SGB442	GCA_003467175.1_ASM346717v1_genomic
SGB443	SAMN09769777
SGB444	SAMN06644708
SGB445	SAMEA3138244
SGB446	GCF_900459445.1_44927_G01_genomic
SGB447	SAMN02470846
SGB448	GCF_900076575.1_12045_5_30_genomic
SGB449	GCF_000755725.1_ASM75572v1_genomic
SGB450	GCF_000154065.1_ASM15406v1_genomic
SGB451	SAMN02597025
SGB452	SAMN02597023
SGB453	MG_205209_bin_12
SGB454	C0108C3
SGB455	SAMN07511412
SGB456	MG_4004001329_bin_67
SGB457	GCF_900077215.1_12045_4_52_genomic
SGB458	SAMN05428934
SGB459	GCF_000143825.1_ASM14382v1_genomic
SGB460	SAMN04538185
SGB461	GCA_900174345
SGB462	MG_226813_bin_30
SGB463	GCF_001406355.1_13414_6_53_genomic
SGB464	C0079E3
SGB465	GCF_002871975.1_ASM287197v1_genomic
SGB466	SAMN10249213
SGB467	SAMN04446399
SGB468	SAMN02850928
SGB469	TM7_H1_E1
SGB470	GCA_000425005.1_ASM42500v1_genomic
SGB471	SAMN03851015
SGB472	GCF_002159915.1_ASM215991v1_genomic
SGB473	SAMN07511388
SGB474	GCF_002871735.1_ASM287173v1_genomic
SGB475	GCA_004555625.1_ASM455562v1_genomic
SGB476	SAMEA4442464
SGB477	SAMN00621705
SGB478	SAMN07514296
SGB479	GCA_900683765.1_Phascolarctobacterium_succinatutens_82G5_genomic
SGB480	GCA_000468015.1_ASM46801v1_genomic
SGB481	SAMN03197926
SGB482	SAMN03851017
SGB483	GCF_000711965.1_ASM71196v1_genomic
SGB484	GCF_005845255.1_ASM584525v1_genomic
SGB485	GCF_002266405.1_ASM226640v1_genomic
SGB486	GCA_900173245
SGB487	GCF_002096535.1_ASM209653v1_genomic
SGB488	GCF_000163095.1_ASM16309v1_genomic
SGB489	SAMN03217754
SGB490	GCF_003942405.1_ASM394240v1_genomic
SGB491	GCF_000949245.1_SG099Q_genomic
SGB492	C0026C3
SGB493	GCA_000738255.1_Cj21382_genomic
SGB494	MG_213626_bin_1
SGB495	GCA_004554925.1_ASM455492v1_genomic
SGB496	0008_007_1_MRS3_S771-bin_1
SGB497	SAMN00002545
SGB498	MG_181711_bin_4
SGB499	SAMN05591982
SGB500	GCF_001405095.1_13470_2_65_genomic
SGB501	SAMN11268911
SGB502	GCF_002953655.1_ASM295365v1_genomic
SGB503	GCF_002096685.1_ASM209668v1_genomic
SGB504	Jacques_Reference_BVAB1_tig3672_ann_editted
SGB505	GCA_002847965.1_ASM284796v1_genomic
SGB506	SAMN06645327
SGB507	MG_193930_bin_14
SGB508	GCF_005221285.1_ASM522128v1_genomic
SGB509	C0155A2
SGB510	MG_192558_bin_7
SGB511	GCF_003203175.1_ASM320317v1_genomic
SGB512	C0173C2
SGB513	GCF_900201995.1_R372_genomic
SGB514	SAMD00015865
SGB515	MG_4004001329_bin_59
SGB516	GCF_003469635.1_ASM346963v1_genomic
SGB517	GCF_008571435.1_ASM857143v1_genomic
SGB518	MG_4004001329_bin_50
SGB519	SAMN03018620
SGB520	C0010C1
SGB521	SAMN00138211
SGB522	GCF_000174695.1_ASM17469v1_genomic
SGB523	SAMN04325954
SGB524	MG_224458_bin_10
SGB525	MG_224458_bin_16
SGB526	SAMN10610113
SGB527	SAMN02470963
SGB528	GCF_000011025.1_ASM1102v1_genomic
SGB529	MG_4004001329_bin_10
SGB530	GCF_000215385.1_ASM21538v1_genomic
SGB531	SAMN04108634
SGB532	SAMEA104588860
SGB533	SAMN00621712
SGB534	SAMN05363827
SGB535	SAMEA4665868
SGB536	MG_199199_bin_21
SGB537	GCF_001902635.1_ASM190263v1_genomic
SGB538	SAMN02934510
SGB539	SAMN10478701
SGB540	MG_199199_bin_27
SGB541	MG_4004001329_bin_35
SGB542	SAMN04324897
SGB543	ERR2244520_bin_4
SGB544	MG_198301_bin_12
SGB545	GCF_001553085.1_ASM155308v1_genomic
SGB546	SAMN02713684
SGB547	GCA_002299345.1_ASM229934v1_genomic
SGB548	SAMN04325055
SGB549	SAMN00120584
SGB550	SAMN02363424
SGB551	GCA_001915735.1_ASM191573v1_genomic
SGB552	SAMN06173058
SGB553	GCF_003609875.1_ASM360987v1_genomic
SGB554	SAMN00260258
SGB555	SAMN02436884
SGB556	GCA_003464295.1_ASM346429v1_genomic
SGB557	GCF_001558935.2_ASM155893v2_genomic
SGB558	GCF_001811895.1_ASM181189v1_genomic
SGB559	SAMN07511399
SGB560	SAMN05003791
SGB561	GCF_900637975.1_53550_F01_genomic
SGB562	SAMN03842620
SGB563	SAMEA104338398
SGB564	MG_205763_bin_39
SGB565	SAMN05978001
SGB566	GCF_000686185.1_ASM68618v1_genomic
SGB567	GCF_003938725.1_ASM393872v1_genomic
SGB568	GCF_000162875.1_ASM16287v1_genomic
SGB569	SAMEA4434523
SGB570	SAMEA4412679
SGB571	SAMN07245421
SGB572	GCF_902374195.1_MGYG-HGUT-01353_genomic
SGB573	SAMN02850929
SGB574	GCF_902364885.1_MGYG-HGUT-00257_genomic
SGB575	GCF_000429205.1_ASM42920v1_genomic
SGB576	SAMN10465591
SGB577	SAMN08580105
SGB578	C0136B5
SGB579	SAMN00761826
SGB580	SAMN08365968
SGB581	GCF_000210055.1_ASM21005v1_genomic
SGB582	SAMN06106875
SGB583	GCA_000173795.1_ASM17379v1_genomic
SGB584	MG_4004001329_bin_79
SGB585	GCF_001074975.1_ASM107497v1_genomic
SGB586	GCA_000738355.1_Cj30952_genomic
SGB587	MG_4004001329_bin_75
SGB588	C0166D4
SGB589	SAMD00011592
SGB590	GCF_000633555.1_ASM63355v1_genomic
SGB591	GCF_003434015.1_ASM343401v1_genomic
SGB592	GCA_000758925.1_04_NF40_HMP1640v01_genomic
SGB593	GCF_001909445.1_ASM190944v1_genomic
SGB594	GCA_000432235.1_MGS36_genomic
SGB595	SAMN01822993
SGB596	GCF_000773035.1_LS888_genomic
SGB597	GCF_002738185.1_ASM273818v1_genomic
SGB598	SAMEA1031413
SGB599	SAMN03921941
SGB600	C0034A2
SGB601	SAMEA1031419
SGB602	SAMN04955242
SGB603	SAMN05413859
SGB604	GCF_001637565.1_ASM163756v1_genomic
SGB605	C0162D5
SGB606	MG_199199_bin_12
SGB607	GCF_000468755.1_OprofF0195v1.0_genomic
SGB608	GCF_000315465.1_Acti_mass_ACS-171-V-COL2_V1_genomic
SGB609	GCA_000183605.2_ASM18360v1_genomic
