GCF_001450525.1_WH-SGI-V-07173_genomic	SGB13-MERGED-SGB172
GCF_000559885.1_Stap_aure_F54467_V1_genomic	SGB24
JKR_P2_17_A03_S785_001-bin_1	SGB49
GCF_000160535.1_ASM16053v1_genomic	SGB50
GCF_000554365.1_Stap_aure_M0296_V1_genomic	SGB24
GCA_002885465.1_ASM288546v1_genomic	SGB51
GCF_900200815.1_B280_genomic	SGB6
GCF_000571615.1_Stap_aure_F77960_V1_genomic	SGB24
GCF_008931425.1_ASM893142v1_genomic	SGB18
GCF_002750615.1_ASM275061v1_genomic	SGB9
SAMN02442661	SGB52
GCF_001452645.1_WH-SGI-V-07700_genomic	SGB13-MERGED-SGB172
GCF_000594725.1_Stap_aure_H84958_V1_genomic	SGB24
GCF_001437195.1_ASM143719v1_genomic	SGB53
GCF_000541335.1_Stap_aure_SJOS6144_V1_genomic	SGB24
GCF_000573405.1_Stap_aure_M1314_V1_genomic	SGB24
GCF_000260015.1_SaureusIS157v1.0_genomic	SGB24
GCF_000579215.1_Stap_aure_F16107_V1_genomic	SGB24
GCF_000481885.1_Pseu_aeru_CF5_V1_genomic	SGB13-MERGED-SGB172
GCF_001539685.1_12082_3_79_genomic	SGB18
GCF_003492545.1_ASM349254v1_genomic	SGB6
GCF_003203195.1_ASM320319v1_genomic	SGB5
GCF_003495285.1_ASM349528v1_genomic	SGB6
SAMN03196961	SGB26-MERGED-SGB655
GCF_001994895.1_ASM199489v1_genomic	SGB31
G3_bin_2	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
GCF_003490275.1_ASM349027v1_genomic	SGB5
SAMN09582630	SGB55
GCF_000249015.1_ASM24901v2_genomic	SGB24
GCF_003494935.1_ASM349493v1_genomic	SGB6
GCF_000758185.1_LTH5448_genomic	SGB56
GCF_002096415.1_ASM209641v1_genomic	SGB57
GCF_000528595.1_Stap_aure_M0699_V1_genomic	SGB24
GCF_002318055.1_ASM231805v1_genomic	SGB6
F4_1630_1235_1_CBA1_S227-bin_1-SPLIT	SGB58
GCF_003798985.1_ASM379898v1_genomic	SGB6
SAMN07638053	SGB10
GCF_900203525.1_22522_genomic	SGB6
GCF_003496325.1_ASM349632v1_genomic	SGB6
NZ_SEST01000002.1	SGB59
SRR5273947_bin_1	SGB213-MERGED-SGB29-MERGED-SGB85
C0140A2	SGB19-MERGED-SGB450-MERGED-SGB685
GCF_000262875.1_VRSA04_3_genomic	SGB24
GCF_001588895.1_ASM158889v1_genomic	SGB47
SAMN02598313	SGB52
GCA_002885015.1_ASM288501v1_genomic	SGB61
GCF_003996235.1_ASM399623v1_genomic	SGB6
GCF_000264705.1_EntClo_1.0_genomic	SGB62
GCF_002331985.1_ASM233198v1_genomic	SGB13-MERGED-SGB172
SAMN00116890	SGB26-MERGED-SGB655
GCF_001539005.1_12082_5_33_genomic	SGB18
SAMN02644628	SGB6
0756_546_1_1_CBA11_S890-bin_1	SGB63
GCF_000542355.1_Stap_aure_UCIM6119_V1_genomic	SGB24
SAMN02644626	SGB6
GCF_003494595.1_ASM349459v1_genomic	SGB5
GCF_001974965.1_ASM197496v1_genomic	SGB6
GCA_002885355.1_ASM288535v1_genomic	SGB51
SAMN02567408	SGB16
SAMN02567402	SGB16
SAMN02567401	SGB16
C0081A1	SGB64
SAMN02567406	SGB16
SAMN06606133	SGB65
SAMN05631052	SGB65
GCF_008180275.1_ASM818027v1_genomic	SGB6
0795_578_1_1_MRSI5_S834-bin_1	SGB547-MERGED-SGB66
GCF_001451225.1_WH-SGI-V-07415_genomic	SGB13-MERGED-SGB172
GCF_003203015.1_ASM320301v1_genomic	SGB5
GCF_001074565.1_ASM107456v1_genomic	SGB67
GCF_900199895.1_B062_genomic	SGB6
GCF_000545065.1_Stap_aure_M0899_V1_genomic	SGB24
GCF_003432855.1_ASM343285v1_genomic	SGB6
SRS049237_bin_3	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
SRR6747947_bin_2	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
SRS049237_bin_7	SGB213-MERGED-SGB29-MERGED-SGB85
SAMN03081481	SGB71
SAMN03081480	SGB71
SAMN03081483	SGB71
SAMN03081482	SGB71
SAMN08517489	SGB15
SAMN08517483	SGB15
SAMN08517486	SGB15
GCF_003474945.1_ASM347494v1_genomic	SGB27
GCF_002330305.1_ASM233030v1_genomic	SGB13-MERGED-SGB172
GCF_000543145.1_Stap_aure_PLAC6055_V1_genomic	SGB24
GCF_001555415.1_ASM155541v1_genomic	SGB13-MERGED-SGB172
GCF_002003595.1_ASM200359v1_genomic	SGB13-MERGED-SGB172
SAMEA3856679	SGB10
GCF_001024395.1_ASM102439v1_genomic	SGB13-MERGED-SGB172
GCF_005890445.1_ASM589044v1_genomic	SGB72
SAMD00060984	SGB46
SAMN02595274	SGB74
SAMN02595271	SGB10
SAMN02595270	SGB74
SAMEA1407120	SGB16
SAMEA1407121	SGB16
SAMEA3138952	SGB3
GCF_000538635.1_Stap_aure_PLAC6017_V1_genomic	SGB24
GCF_001036265.1_ASM103626v1_genomic	SGB13-MERGED-SGB172
GCF_002985485.1_ASM298548v1_genomic	SGB5
GCF_002984165.1_ASM298416v1_genomic	SGB5
SAMN04286973	SGB25
C0010C1	SGB653-MERGED-SGB75
GCF_000535655.1_Stap_aure_M1071_V1_genomic	SGB24
GCF_000569715.1_Stap_aure_M91141_V1_genomic	SGB24
GCF_001444925.1_ASM144492v1_genomic	SGB13-MERGED-SGB172
GCA_001399815	SGB43
SAMN03800286	SGB3
SAMN06177169	SGB4
SAMN03800287	SGB3
GCF_001909645.1_ASM190964v1_genomic	SGB13-MERGED-SGB172
SAMN06177160	SGB76
SAMN06177164	SGB77
SAMEA1690323	SGB6
SAMN03800282	SGB3
SAMEA1690321	SGB6
0861_630_1_1_CBA6_S824-bin_1	SGB127-MERGED-SGB78
GCF_000532535.1_Stap_aure_M1426_V1_genomic	SGB24
GCF_000586735.1_Stap_aure_W85810_V1_genomic	SGB24
SAMEA4076741	SGB6
GCF_001452305.1_WH-SGI-V-07645_genomic	SGB13-MERGED-SGB172
GCF_000528475.1_Stap_aure_M0686_V1_genomic	SGB24
SAMN03433963	SGB10
GCF_000362725.1_Stap_aure_M1092_V1_genomic	SGB24
GCF_001990345.1_ASM199034v1_genomic	SGB13-MERGED-SGB172
SAMN02471515	SGB10
SAMN02471514	SGB10
SAMN02471513	SGB10
GCF_900202065.1_R513_genomic	SGB6
GCF_000712555.1_LTH2584_genomic	SGB56
GCF_900076245.1_11983_6_96_genomic	SGB62
GCF_000535835.1_Stap_aure_M0765_V1_genomic	SGB24
SAMEA3158499	SGB79
SAMN05762133	SGB15
SAMN05762135	SGB15
SAMN05762134	SGB15
SAMN05762136	SGB15
GCF_001435715.1_ASM143571v1_genomic	SGB9
GCF_001992285.1_ASM199228v1_genomic	SGB31
MG_189662_bin_20	SGB80
MG_189662_bin_22	SGB82
C0051D5	SGB213-MERGED-SGB29-MERGED-SGB85
MG_189662_bin_24	SGB237-MERGED-SGB83
C0051D3	SGB213-MERGED-SGB29-MERGED-SGB85
MG_189662_bin_26	SGB551-MERGED-SGB623-MERGED-SGB693-MERGED-SGB84
GCF_001086725.1_ASM108672v1_genomic	SGB13-MERGED-SGB172
GCF_000551245.1_Stap_aure_M0031_V1_genomic	SGB24
SAMN00809103	SGB10
GCF_000573125.1_Stap_aure_M1334_V1_genomic	SGB24
SAMN08801533	SGB3
MG_256903_bin_1	SGB213-MERGED-SGB29-MERGED-SGB85
MG_256903_bin_2	SGB213-MERGED-SGB29-MERGED-SGB85
E7_1841_1391_1_CBA3_S97-bin_1-SPLIT	SGB86
SAMN08801531	SGB3
GCF_000387205.2_ASM38720v2_genomic	SGB6
SAMEA51825418	SGB87
MG_1062501159_bin_1	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
GCF_000561185.1_Stap_aure_H24884_V1_genomic	SGB24
GCF_000363805.1_Stap_aure_B147830_V1_genomic	SGB24
SAMN00809104	SGB10
SAMEA1876559	SGB16
SAMEA1876558	SGB16
SAMEA1876553	SGB16
SAMEA1876552	SGB16
GCF_000541355.1_Stap_aure_UCIM6070_V1_genomic	SGB24
SAMEA1876557	SGB16
SAMN00809109	SGB10
SAMEA1876555	SGB16
GCF_003355135.1_ASM335513v1_genomic	SGB18
SAMN08801539	SGB3
SAMN07735159	SGB17
SAMN07735158	SGB17
SAMN04235878	SGB3
GCF_900202825.1_R913_genomic	SGB6
SAMN02716635	SGB16
SAMN02730069	SGB89
SAMEA2271937	SGB90
C0015B2	SGB91
GCF_000564665.1_Stap_aure_W58473_V1_genomic	SGB24
SAMEA4412703	SGB3
GCF_003494135.1_ASM349413v1_genomic	SGB5
GCF_001449805.1_WH-SGI-V-07188_genomic	SGB13-MERGED-SGB172
GCF_000535915.1_Stap_aure_M1385_V1_genomic	SGB24
GCF_002216345.1_ASM221634v1_genomic	SGB13-MERGED-SGB172
GCF_000571135.1_Stap_aure_M46066_V1_genomic	SGB24
SAMN10397177	SGB6
SAMN10397176	SGB6
SAMN10397175	SGB6
SAMN10397174	SGB6
SAMN10397173	SGB6
SAMN04606871	SGB26-MERGED-SGB655
SAMN04606872	SGB26-MERGED-SGB655
SAMN10397170	SGB6
SAMN10397179	SGB6
SAMN10397178	SGB6
BJ7_bin_1	SGB213-MERGED-SGB29-MERGED-SGB85
CM_A04_S793-bin_1	SGB213-MERGED-SGB29-MERGED-SGB85
GCF_000604505.1_Stap_aure_M32567_V1_genomic	SGB24
GCF_900039435.1_14355_4_35_genomic	SGB6
C0052B2	SGB213-MERGED-SGB29-MERGED-SGB85
C0052B1	SGB213-MERGED-SGB29-MERGED-SGB85
GCF_003957935.1_ASM395793v1_genomic	SGB18
GCF_000601885.1_Stap_aure_F12749_V1_genomic	SGB24
GCF_000542135.1_Stap_aure_WMCS6087_V1_genomic	SGB24
GCF_000554805.1_Stap_aure_M0333_V1_genomic	SGB24
SAMN08518897	SGB3
GCF_001007415.1_ASM100741v1_genomic	SGB13-MERGED-SGB172
MG_205209_bin_16	SGB592-MERGED-SGB93
GCF_003414945.1_ASM341494v1_genomic	SGB5
GCF_002263445.1_ASM226344v1_genomic	SGB13-MERGED-SGB172
GCF_000521905.1_Serr_marc_BIDMC_50_V1_genomic	SGB18
GCF_001537805.1_12082_5_51_genomic	SGB18
SAMN03198039	SGB154-MERGED-SGB94
GCF_000550145.1_Stap_aure_M1506_V1_genomic	SGB24
GCF_001765995.1_ASM176599v1_genomic	SGB13-MERGED-SGB172
GCF_900075675.1_12045_5_72_genomic	SGB62
SAMN07980959	SGB95
GCF_000536115.1_Stap_aure_M1362_V1_genomic	SGB24
GCF_900024435.1_14555_5_26_genomic	SGB6
GCF_000602345.1_Stap_aure_H15899_V1_genomic	SGB24
GCF_000602545.1_Stap_aure_M79667_V1_genomic	SGB24
SAMN02742055	SGB3
GCF_002096215.1_ASM209621v1_genomic	SGB96
SAMN06226869	SGB97
SAMN06226868	SGB97
GCF_005864375.1_ASM586437v1_genomic	SGB45
SAMN06226867	SGB97
SAMN06226866	SGB97
SAMN06226865	SGB97
GCF_000327745.2_ASM32774v2_genomic	SGB6
GCF_002312765.1_ASM231276v1_genomic	SGB13-MERGED-SGB172
SAMN08970423	SGB3
SAMN08970422	SGB3
SAMN08970421	SGB3
SAMN08970420	SGB3
GCF_002988595.1_ASM298859v1_genomic	SGB5
SAMN08970424	SGB3
MG_195374_bin_2	SGB505-MERGED-SGB625-MERGED-SGB98
GCF_000596725.1_Stap_aure_W60060_V1_genomic	SGB24
MG_195374_bin_6	SGB99
GCF_001374735.1_227_2_5Pc_9_contigs_500_genomic	SGB13-MERGED-SGB172
SAMN02741621	SGB3
SAMN02741620	SGB3
SAMN02741623	SGB3
SAMN02741622	SGB3
SAMN02741625	SGB3
SAMN02741624	SGB3
SAMN02741627	SGB3
GCF_000626595.1_ASM62659v1_genomic	SGB6
SAMN02741629	SGB3
SAMN02741628	SGB3
GCF_003464145.1_ASM346414v1_genomic	SGB101
SAMEA3888129	SGB15
SAMEA3888128	SGB15
SAMN10225188	SGB32
SAMEA3888121	SGB15
SAMEA3888120	SGB15
SAMEA3888123	SGB15
SAMEA3888122	SGB15
SAMEA3888125	SGB15
SAMEA3888124	SGB15
SAMEA3888127	SGB15
SAMEA3888126	SGB15
n7_bin_7	SGB104-MERGED-SGB193-MERGED-SGB273-MERGED-SGB481
GCF_001579525.1_ASM157952v1_genomic	SGB105
GCF_900028085.1_14555_6_46_genomic	SGB6
SAMN09736813	SGB17
GCF_000554605.1_Stap_aure_M0317_V1_genomic	SGB24
SAMN03140396	SGB106
SAMN09736816	SGB22
GCF_000182835.1_ASM18283v1_genomic	SGB53
GCF_000530925.1_Stap_aure_M0365_V1_genomic	SGB24
GCF_000554245.1_Stap_aure_M0287_V1_genomic	SGB24
GCF_003841885.1_INS-Nm1142_genomic	SGB6
GCF_002988555.1_ASM298855v1_genomic	SGB5
SAMN03197882	SGB107
GCF_003724575.1_INS-Nm1076_genomic	SGB6
SAMN03197889	SGB26-MERGED-SGB655
GCF_003494815.1_ASM349481v1_genomic	SGB5
GCF_000606505.1_Stap_aure_H89939_V1_genomic	SGB24
SAMN03854410	SGB63
SAMN03854412	SGB108
SAMN03854413	SGB7
GCF_900077605.1_12045_4_86_genomic	SGB109
GCF_001449675.1_WH-SGI-V-07180_genomic	SGB13-MERGED-SGB172
SAMEA2272374	SGB90
SAMEA2272375	SGB79
GCF_900022425.1_14555_5_35_genomic	SGB6
0756_546_1_1_MRSIHK1_S857-bin_1	SGB110-MERGED-SGB577
SAMN05425708	SGB111
GCF_002985425.1_ASM298542v1_genomic	SGB5
GCF_000597025.1_Stap_aure_H47224_V1_genomic	SGB24
SAMN00000654	SGB16
GCF_006334635.1_ASM633463v1_genomic	SGB6
GCF_000191285.1_ASM19128v2_genomic	SGB6
GCF_003799275.1_ASM379927v1_genomic	SGB6
SAMN00808888	SGB112
SAMN00808885	SGB112
SRS056796_bin_1	SGB14
SAMN00808886	SGB112
SAMN00808881	SGB112
SAMN00808880	SGB112
SAMN00808883	SGB112
SAMN00808882	SGB112
GCF_000579595.1_Stap_aure_H75423_V1_genomic	SGB24
SAMN02436279	SGB113
SAMN02436277	SGB114
GCF_000606385.1_Stap_aure_H32175_V1_genomic	SGB24
C0079E3	SGB115-MERGED-SGB169-MERGED-SGB170-MERGED-SGB589
GCF_001598675.1_ASM159867v1_genomic	SGB116
SAMN04324612	SGB117
GCF_900202125.1_R559_genomic	SGB6
GCF_001024955.1_ASM102495v1_genomic	SGB13-MERGED-SGB172
SAMEA3918979	SGB16
SAMN09734795	SGB17
GCF_000547805.1_Stap_aure_M0763_V1_genomic	SGB24
SAMEA3918971	SGB16
SAMEA3918972	SGB16
SAMEA3918973	SGB16
SAMEA3918974	SGB16
SAMEA3918975	SGB16
SAMEA3918976	SGB16
SAMEA3918977	SGB16
SAMN05185374	SGB118
SAMN05185370	SGB118
SAMN05185378	SGB118
GCF_003798845.1_ASM379884v1_genomic	SGB6
SAMEA3714883	SGB15
GCF_003599935.1	SGB72
GCF_000570615.1_Stap_aure_T89467_V1_genomic	SGB24
GCF_001909005.1_ASM190900v1_genomic	SGB5
GCF_900077575.1_12045_4_92_genomic	SGB62
MG_205763_bin_35	SGB120
MG_205763_bin_36	SGB86
MG_205763_bin_30	SGB122
MG_205763_bin_31	SGB123
GCF_002330215.1_ASM233021v1_genomic	SGB13-MERGED-SGB172
GCF_003996495.1_ASM399649v1_genomic	SGB6
GCF_900031465.1_14555_5_5_genomic	SGB6
GCF_002201385.1_ASM220138v1_genomic	SGB13-MERGED-SGB172
SAMN04395120	SGB107
SAMN04395122	SGB106
SRR5273937_bin_1	SGB213-MERGED-SGB29-MERGED-SGB85
SAMEA104338398	SGB125
GCF_001184555.1_ASM118455v1_genomic	SGB5
GCF_000545205.1_Stap_aure_M0910_V1_genomic	SGB24
GCF_000597545.1_Stap_aure_UCIM6049_V1_genomic	SGB24
SAMEA3893641	SGB10
SAMEA3893643	SGB10
SAMN08801587	SGB3
GCF_001037265.1_ASM103726v1_genomic	SGB13-MERGED-SGB172
SAMN10248968	SGB10
SAMN03277688	SGB3
GCA_000433575.1_MGS21_genomic	SGB126
01541192_bin_1	SGB551-MERGED-SGB623-MERGED-SGB693-MERGED-SGB84
SAMN03277682	SGB3
SAMN03277683	SGB3
SAMN03277684	SGB3
SAMN03277685	SGB3
f6_bin_1	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
01541192_bin_7	SGB127-MERGED-SGB78
SAMN05003791	SGB128
SAMN05003793	SGB128
SAMN05003792	SGB128
SAMN05003795	SGB128
SAMN05003794	SGB128
SAMN05003796	SGB128
SAMN05003799	SGB128
GCF_900201595.1_R093_genomic	SGB6
SAMN04011435	SGB25
GCF_000790155.1_AZPAE14864_genomic	SGB13-MERGED-SGB172
GCF_001993215.1_ASM199321v1_genomic	SGB31
GCF_003355275.1_ASM335527v1_genomic	SGB6
SAMN02595364	SGB6
SAMEA1398275	SGB90
SAMN02595363	SGB10
SRR6748192_bin_5	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
SRR6748192_bin_7	SGB58
SAMN02400164	SGB3
GCF_001071265.1_ASM107126v1_genomic	SGB31
SAMN02400169	SGB3
SRR6748192_bin_8	SGB132
SAMN05185389	SGB118
GCF_000551005.1_Stap_aure_M0013_V1_genomic	SGB24
SAMN06111314	SGB10
GCF_003843365.1_INS-Nm995_genomic	SGB6
GCF_000958205.1_ASM95820v1_genomic	SGB133
GCF_900075185.1_12045_5_63_genomic	SGB62
GCF_000463315.1_B_cell_WH2_1.0_genomic	SGB134
GCF_900203385.1_22420_genomic	SGB6
GCF_001304675.1_ASM130467v1_genomic	SGB116
GCA_002885155.1_ASM288515v1_genomic	SGB51
GCF_002866785.1_ASM286678v1_genomic	SGB13-MERGED-SGB172
GCF_002236985.1_ASM223698v1_genomic	SGB13-MERGED-SGB172
GCF_001540085.1_12082_5_40_genomic	SGB18
SAMN09631739	SGB135
MG_205081_bin_1	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
MG_205081_bin_5	SGB136
MG_205081_bin_4	SGB592-MERGED-SGB93
GCF_900457005.1_59449_G02_genomic	SGB137
GCF_001374315.1_292_15_321Ga_contigs_500_genomic	SGB13-MERGED-SGB172
SAMN05150778	SGB138
SAMN05150777	SGB138
MG_4007801349_bin_1	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604
GCF_000539995.1_Stap_aure_SJOS6022_V1_genomic	SGB24
0795_578_1_1_MRSIHK8_S787-bin_1	SGB139
SAMN10754256	SGB32
GCF_900022335.1_14355_4_20_genomic	SGB6
GCF_000794995.1_AZPAE14809_genomic	SGB13-MERGED-SGB172
SAMN02470843	SGB140
SAMN02470846	SGB141-MERGED-SGB542
GCA_000763925	SGB43
SAMN02470848	SGB33
C0083B3	SGB115-MERGED-SGB169-MERGED-SGB170-MERGED-SGB589
GCF_001180405.1_P4_London_1_VIM_2_10_07_genomic	SGB13-MERGED-SGB172
GCF_000481225.1_Pseu_aeru_BWH024_V1_genomic	SGB13-MERGED-SGB172
GCF_001547955.1_ASM154795v1_genomic	SGB13-MERGED-SGB172
C0002B3	SGB142
SAMN07267280	SGB143
SAMN02951916	SGB25
SAMN02951917	SGB32
SAMN03197920	SGB10
GCF_000603185.1_Stap_aure_H88188_V1_genomic	SGB24
GCF_000544465.1_Stap_aure_M0850_V1_genomic	SGB24
GCF_000551445.1_Stap_aure_M0046_V1_genomic	SGB24
GCF_006711145.1_ASM671114v1_genomic	SGB18
SAMEA1407089	SGB16
SAMEA1407088	SGB16
SAMEA1407081	SGB16
SAMEA1407080	SGB16
SAMEA1407083	SGB16
SAMEA1407082	SGB16
SAMEA1407085	SGB16
SAMEA1407084	SGB16
SAMEA1407087	SGB16
GCF_003799995.1_ASM379999v1_genomic	SGB6
MG_198301_bin_3	SGB80
MG_198301_bin_2	SGB144
GCF_000160195.1_ASM16019v1_genomic	SGB24
SAMN03785819	SGB87
SAMN03785818	SGB87
GCF_000248655.1_ASM24865v2_genomic	SGB24
SAMN02567633	SGB16
GCF_000442155.1_2425.1_genomic	SGB96
GCF_900022405.1_14355_7_64_genomic	SGB6
GCF_003492255.1_ASM349225v1_genomic	SGB6
SAMN00993291	SGB26-MERGED-SGB655
GCF_004127215.1_ASM412721v1_genomic	SGB148
SAMN04387840	SGB3
GCF_001374775.1_229_12_5Pc_5_contigs_500_genomic	SGB13-MERGED-SGB172
GCF_002242855.1_ASM224285v1_genomic	SGB13-MERGED-SGB172
GCF_002136275.1_ASM213627v1_genomic	SGB13-MERGED-SGB172
SAMN03895993	SGB76
GCF_900076955.1_12045_4_27_genomic	SGB62
MG_185347_bin_2	SGB123
GCF_000833745.1_ASM83374v1_genomic	SGB5
GCF_000530705.1_Stap_aure_M0311_V1_genomic	SGB24
GCF_002987705.1_ASM298770v1_genomic	SGB5
GCF_001991915.1_ASM199191v1_genomic	SGB31
