GCF_003469635.1_ASM346963v1_genomic	SGB516
GCF_000532695.1_Stap_aure_M1134_V1_genomic	SGB185
GCF_003724715.1_INS-Nm1170_genomic	SGB513
GCF_003494495.1_ASM349449v1_genomic	SGB511
SAMEA1876776	SGB598
GCF_000797345.1_AZPAE14711_genomic	SGB359
GCF_003935225.1_ASM393522v1_genomic	SGB597
GCF_000240665.1_ASM24066v2_genomic	SGB513
GCF_000605805.1_Stap_aure_T83543_V1_genomic	SGB185
SAMN03325972	SGB184
GCF_000359965.1_Stap_aure_M0006_V1_genomic	SGB185
SAMN09435199	SGB603
0809_588_1_1_MRSIHK9_S788-bin_1	SGB481
SAMN09435192	SGB603
SAMN09435191	SGB603
SAMN09435196	SGB603
SAMN09435197	SGB603
SAMN09435194	SGB603
GCF_009024805.1_ASM902480v1_genomic	SGB183
GCF_003060705.1_ASM306070v1_genomic	SGB178
CM_B04_S794-bin_1	SGB266
GCF_000549565.1_Stap_aure_M1349_V1_genomic	SGB185
GCF_001055095.1_ASM105509v1_genomic	SGB342
GCF_001294565.1_ASM129456v1_genomic	SGB597
GCF_000558065.1_Stap_aure_M0607_V1_genomic	SGB185
GCF_004368725.1_ASM436872v1_genomic	SGB343
GCF_000548565.1_Stap_aure_M1416_V1_genomic	SGB185
GCF_000604545.1_Stap_aure_M32669_V1_genomic	SGB185
GCF_003496895.1_ASM349689v1_genomic	SGB511
GCF_000607045.1_Stap_aure_W75262_V1_genomic	SGB185
SAMN04283650	SGB344
SAMN09631734	SGB345
SAMN09631735	SGB338
SAMN09631737	SGB339
SAMN09631730	SGB340
SAMN09631731	SGB341
SAMN09631732	SGB347
SAMN09631733	SGB348
GCF_001992915.1_ASM199291v1_genomic	SGB343
GCF_002266405.1_ASM226640v1_genomic	SGB485
GCF_000596345.1_Stap_aure_DAR5863_V1_genomic	SGB185
SAMN03197926	SGB481
GCF_900035265.1_14412_4_20_genomic	SGB511
SAMEA864240	SGB598
SAMEA864241	SGB598
SAMEA864242	SGB598
SAMEA864243	SGB598
SAMEA864244	SGB598
GCF_900407525.1_PTHi-12411_genomic	SGB511
GCF_005845255.1_ASM584525v1_genomic	SGB484
GCF_000603145.1_Stap_aure_H47139_V1_genomic	SGB185
SAMEA864248	SGB598
SAMEA864249	SGB598
GCF_002096535.1_ASM209653v1_genomic	SGB487
GCA_900173245	SGB486
SAMN03217754	SGB489
GCF_003842385.1_INS-Nm1078_genomic	SGB513
GCF_000163095.1_ASM16309v1_genomic	SGB488
GCF_000949245.1_SG099Q_genomic	SGB491
SAMN02325127	SGB481
GCF_001623955.1_ASM162395v1_genomic	SGB359
GCF_000555825.1_Stap_aure_M0420_V1_genomic	SGB185
GCF_002987585.1_ASM298758v1_genomic	SGB511
GCF_003942405.1_ASM394240v1_genomic	SGB490
GCF_900199935.1_B114_genomic	SGB513
GCF_000796585.1_AZPAE12137_genomic	SGB359
GCA_000738255.1_Cj21382_genomic	SGB493
GCF_003958295.1_ASM395829v1_genomic	SGB597
SAMN09273503	SGB603
GCF_001594325.2_ASM159432v2_genomic	SGB359
SAMN09273504	SGB603
SAMN09273507	SGB603
SAMN09273506	SGB603
GCF_001450525.1_WH-SGI-V-07173_genomic	SGB359
GCF_000559885.1_Stap_aure_F54467_V1_genomic	SGB185
JKR_P2_17_A03_S785_001-bin_1	SGB492
GCF_000160535.1_ASM16053v1_genomic	SGB055
GCF_000554365.1_Stap_aure_M0296_V1_genomic	SGB185
GCA_002885465.1_ASM288546v1_genomic	SGB056
GCF_900200815.1_B280_genomic	SGB513
GCF_000571615.1_Stap_aure_F77960_V1_genomic	SGB185
GCF_008931425.1_ASM893142v1_genomic	SGB597
GCF_002750615.1_ASM275061v1_genomic	SGB391
SAMN02442661	SGB053
GCF_001452645.1_WH-SGI-V-07700_genomic	SGB359
GCF_000594725.1_Stap_aure_H84958_V1_genomic	SGB185
GCF_001437195.1_ASM143719v1_genomic	SGB054
GCF_000541335.1_Stap_aure_SJOS6144_V1_genomic	SGB185
GCF_000573405.1_Stap_aure_M1314_V1_genomic	SGB185
GCF_000260015.1_SaureusIS157v1.0_genomic	SGB185
GCF_000579215.1_Stap_aure_F16107_V1_genomic	SGB185
GCF_000481885.1_Pseu_aeru_CF5_V1_genomic	SGB359
GCF_001539685.1_12082_3_79_genomic	SGB597
GCF_003492545.1_ASM349254v1_genomic	SGB513
GCF_003203195.1_ASM320319v1_genomic	SGB511
GCF_003495285.1_ASM349528v1_genomic	SGB513
SAMN03196961	SGB481
GCF_001994895.1_ASM199489v1_genomic	SGB343
G3_bin_2	SGB521
GCF_003490275.1_ASM349027v1_genomic	SGB511
SAMN09582630	SGB059
GCF_000249015.1_ASM24901v2_genomic	SGB185
GCF_003494935.1_ASM349493v1_genomic	SGB513
GCF_000758185.1_LTH5448_genomic	SGB057
GCF_002096415.1_ASM209641v1_genomic	SGB058
GCF_000528595.1_Stap_aure_M0699_V1_genomic	SGB185
GCF_002318055.1_ASM231805v1_genomic	SGB513
F4_1630_1235_1_CBA1_S227-bin_1-SPLIT	SGB061
GCF_003798985.1_ASM379898v1_genomic	SGB513
SAMN07638053	SGB603
GCF_900203525.1_22522_genomic	SGB513
GCF_003496325.1_ASM349632v1_genomic	SGB513
NZ_SEST01000002.1	SGB062
SRR5273947_bin_1	SGB266
C0140A2	SGB001
GCF_000262875.1_VRSA04_3_genomic	SGB185
MG_205819_bin_26	SGB240
GCF_001588895.1_ASM158889v1_genomic	SGB490
SAMN02598313	SGB053
GCA_002885015.1_ASM288501v1_genomic	SGB239
GCF_003996235.1_ASM399623v1_genomic	SGB513
GCF_000264705.1_EntClo_1.0_genomic	SGB238
GCF_002331985.1_ASM233198v1_genomic	SGB359
SAMN00116890	SGB481
GCF_001539005.1_12082_5_33_genomic	SGB597
SAMN02644628	SGB513
0756_546_1_1_CBA11_S890-bin_1	SGB237
GCF_000542355.1_Stap_aure_UCIM6119_V1_genomic	SGB185
SAMN02644626	SGB513
GCF_003494595.1_ASM349459v1_genomic	SGB511
GCF_001974965.1_ASM197496v1_genomic	SGB513
GCA_002885355.1_ASM288535v1_genomic	SGB056
SAMN02567408	SGB598
SAMN02567402	SGB598
SAMN02567401	SGB598
C0081A1	SGB236
SAMN02567406	SGB598
SAMN06606133	SGB235
SAMN05631052	SGB235
GCF_008180275.1_ASM818027v1_genomic	SGB513
0795_578_1_1_MRSI5_S834-bin_1	SGB265
GCF_001451225.1_WH-SGI-V-07415_genomic	SGB359
GCF_003203015.1_ASM320301v1_genomic	SGB511
GCF_001074565.1_ASM107456v1_genomic	SGB234
GCF_900199895.1_B062_genomic	SGB513
GCF_000545065.1_Stap_aure_M0899_V1_genomic	SGB185
GCF_003432855.1_ASM343285v1_genomic	SGB513
SRR6747947_bin_6	SGB233
SRS049237_bin_3	SGB521
SRR6747947_bin_5	SGB403
SRR6747947_bin_2	SGB521
SRS049237_bin_7	SGB266
SAMN03081481	SGB404
SAMN03081480	SGB404
SAMN03081483	SGB404
SAMN03081482	SGB404
SAMN08517489	SGB601
SAMN08517483	SGB601
SAMN08517486	SGB601
GCF_003474945.1_ASM347494v1_genomic	SGB183
GCF_002330305.1_ASM233030v1_genomic	SGB359
GCF_000543145.1_Stap_aure_PLAC6055_V1_genomic	SGB185
GCF_001555415.1_ASM155541v1_genomic	SGB359
GCF_002003595.1_ASM200359v1_genomic	SGB359
SAMEA3856679	SGB603
GCF_001024395.1_ASM102439v1_genomic	SGB359
GCF_005890445.1_ASM589044v1_genomic	SGB405
SAMD00060984	SGB491
MG_199199_bin_4	SGB406
SAMN02595274	SGB407
SAMN02595271	SGB603
SAMN02595270	SGB407
SAMEA1407120	SGB598
SAMEA1407121	SGB598
SAMEA3138952	SGB401
GCF_000538635.1_Stap_aure_PLAC6017_V1_genomic	SGB185
GCF_001036265.1_ASM103626v1_genomic	SGB359
GCF_002985485.1_ASM298548v1_genomic	SGB511
GCF_002984165.1_ASM298416v1_genomic	SGB511
SAMN04286973	SGB184
C0010C1	SGB520
GCF_000535655.1_Stap_aure_M1071_V1_genomic	SGB185
GCF_000569715.1_Stap_aure_M91141_V1_genomic	SGB185
GCF_001444925.1_ASM144492v1_genomic	SGB359
GCA_001399815	SGB486
SAMN03800286	SGB401
SAMN06177169	SGB506
SAMN03800287	SGB401
GCF_001909645.1_ASM190964v1_genomic	SGB359
SAMN06177160	SGB408
SAMN06177164	SGB409
SAMEA1690323	SGB513
SAMN03800282	SGB401
SAMEA1690321	SGB513
0861_630_1_1_CBA6_S824-bin_1	SGB137
GCF_000532535.1_Stap_aure_M1426_V1_genomic	SGB185
GCF_000586735.1_Stap_aure_W85810_V1_genomic	SGB185
SAMEA4076741	SGB513
GCF_001452305.1_WH-SGI-V-07645_genomic	SGB359
GCF_000528475.1_Stap_aure_M0686_V1_genomic	SGB185
SAMN03433963	SGB603
GCF_000362725.1_Stap_aure_M1092_V1_genomic	SGB185
GCF_001990345.1_ASM199034v1_genomic	SGB359
SAMN02471515	SGB603
SAMN02471514	SGB603
SAMN02471513	SGB603
GCF_900202065.1_R513_genomic	SGB513
GCF_000712555.1_LTH2584_genomic	SGB057
GCF_900076245.1_11983_6_96_genomic	SGB238
GCF_000535835.1_Stap_aure_M0765_V1_genomic	SGB185
SAMEA3158499	SGB402
SAMN05762133	SGB601
SAMN05762135	SGB601
SAMN05762134	SGB601
SAMN05762136	SGB601
GCF_001435715.1_ASM143571v1_genomic	SGB391
GCF_001992285.1_ASM199228v1_genomic	SGB343
MG_189662_bin_20	SGB245
MG_189662_bin_21	SGB244
MG_189662_bin_22	SGB246
C0051D5	SGB266
MG_189662_bin_24	SGB455
C0051D3	SGB266
MG_189662_bin_26	SGB416
GCF_001086725.1_ASM108672v1_genomic	SGB359
GCF_000551245.1_Stap_aure_M0031_V1_genomic	SGB185
SAMN00809103	SGB603
GCF_000573125.1_Stap_aure_M1334_V1_genomic	SGB185
SAMN08801533	SGB401
MG_256903_bin_1	SGB266
MG_256903_bin_2	SGB266
E7_1841_1391_1_CBA3_S97-bin_1-SPLIT	SGB243
SAMN08801531	SGB401
GCF_000387205.2_ASM38720v2_genomic	SGB513
SAMEA51825418	SGB242
MG_1062501159_bin_1	SGB521
GCF_000561185.1_Stap_aure_H24884_V1_genomic	SGB185
GCF_000363805.1_Stap_aure_B147830_V1_genomic	SGB185
SAMN00809104	SGB603
SAMEA1876559	SGB598
SAMEA1876558	SGB598
SAMEA1876553	SGB598
SAMEA1876552	SGB598
GCF_000541355.1_Stap_aure_UCIM6070_V1_genomic	SGB185
SAMEA1876557	SGB598
SAMN00809109	SGB603
SAMEA1876555	SGB598
GCF_003355135.1_ASM335513v1_genomic	SGB597
SAMN08801539	SGB401
SAMN07735159	SGB599
SAMN07735158	SGB599
SAMN04235878	SGB401
GCF_900202825.1_R913_genomic	SGB513
SAMN02716635	SGB598
SAMN02730069	SGB248
SAMEA2271937	SGB414
C0015B2	SGB415
GCF_000564665.1_Stap_aure_W58473_V1_genomic	SGB185
SAMEA4412703	SGB401
GCF_003494135.1_ASM349413v1_genomic	SGB511
GCF_001449805.1_WH-SGI-V-07188_genomic	SGB359
GCF_000535915.1_Stap_aure_M1385_V1_genomic	SGB185
GCF_002216345.1_ASM221634v1_genomic	SGB359
GCF_000571135.1_Stap_aure_M46066_V1_genomic	SGB185
SAMN10397177	SGB513
SAMN10397176	SGB513
SAMN10397175	SGB513
SAMN10397174	SGB513
SAMN10397173	SGB513
SAMN04606871	SGB481
SAMN04606872	SGB481
SAMN10397170	SGB513
SAMN10397179	SGB513
SAMN10397178	SGB513
BJ7_bin_1	SGB266
CM_A04_S793-bin_1	SGB266
GCF_000604505.1_Stap_aure_M32567_V1_genomic	SGB185
GCF_900039435.1_14355_4_35_genomic	SGB513
C0052B2	SGB266
C0052B1	SGB266
GCF_003957935.1_ASM395793v1_genomic	SGB597
GCF_000601885.1_Stap_aure_F12749_V1_genomic	SGB185
GCF_000542135.1_Stap_aure_WMCS6087_V1_genomic	SGB185
GCF_000554805.1_Stap_aure_M0333_V1_genomic	SGB185
SAMN08518897	SGB401
GCF_001007415.1_ASM100741v1_genomic	SGB359
MG_205209_bin_16	SGB519
GCF_003414945.1_ASM341494v1_genomic	SGB511
GCF_002263445.1_ASM226344v1_genomic	SGB359
GCF_000521905.1_Serr_marc_BIDMC_50_V1_genomic	SGB597
GCF_001537805.1_12082_5_51_genomic	SGB597
SAMN03198039	SGB281
GCF_000550145.1_Stap_aure_M1506_V1_genomic	SGB185
GCF_001765995.1_ASM176599v1_genomic	SGB359
GCF_900075675.1_12045_5_72_genomic	SGB238
SAMN07980959	SGB413
GCF_000536115.1_Stap_aure_M1362_V1_genomic	SGB185
GCF_900024435.1_14555_5_26_genomic	SGB513
GCF_000602345.1_Stap_aure_H15899_V1_genomic	SGB185
GCF_000602545.1_Stap_aure_M79667_V1_genomic	SGB185
SAMN02742055	SGB401
GCF_002096215.1_ASM209621v1_genomic	SGB411
SAMN06226869	SGB412
SAMN06226868	SGB412
GCF_005864375.1_ASM586437v1_genomic	SGB488
SAMN06226867	SGB412
SAMN06226866	SGB412
SAMN06226865	SGB412
GCF_000327745.2_ASM32774v2_genomic	SGB513
GCF_002312765.1_ASM231276v1_genomic	SGB359
SAMN08970423	SGB401
SAMN08970422	SGB401
SAMN08970421	SGB401
SAMN08970420	SGB401
GCF_002988595.1_ASM298859v1_genomic	SGB511
SAMN08970424	SGB401
MG_195374_bin_2	SGB381
GCF_000596725.1_Stap_aure_W60060_V1_genomic	SGB185
MG_195374_bin_6	SGB605
MG_195374_bin_7	SGB287
GCF_001374735.1_227_2_5Pc_9_contigs_500_genomic	SGB359
SAMN02741621	SGB401
SAMN02741620	SGB401
SAMN02741623	SGB401
SAMN02741622	SGB401
SAMN02741625	SGB401
SAMN02741624	SGB401
SAMN02741627	SGB401
GCF_000626595.1_ASM62659v1_genomic	SGB513
SAMN02741629	SGB401
SAMN02741628	SGB401
GCF_003464145.1_ASM346414v1_genomic	SGB286
SAMEA3888129	SGB601
SAMEA3888128	SGB601
SAMN10225188	SGB344
SAMEA3888121	SGB601
SAMEA3888120	SGB601
SAMEA3888123	SGB601
SAMEA3888122	SGB601
SAMEA3888125	SGB601
SAMEA3888124	SGB601
SAMEA3888127	SGB601
SAMEA3888126	SGB601
n7_bin_7	SGB467
GCF_001579525.1_ASM157952v1_genomic	SGB285
GCF_900028085.1_14555_6_46_genomic	SGB513
SAMN09736813	SGB599
GCF_000554605.1_Stap_aure_M0317_V1_genomic	SGB185
SAMN03140396	SGB284
SAMN09736816	SGB180
GCF_000182835.1_ASM18283v1_genomic	SGB054
GCF_000530925.1_Stap_aure_M0365_V1_genomic	SGB185
GCF_000554245.1_Stap_aure_M0287_V1_genomic	SGB185
GCF_003841885.1_INS-Nm1142_genomic	SGB513
GCF_002988555.1_ASM298855v1_genomic	SGB511
SAMN03197882	SGB283
GCF_003724575.1_INS-Nm1076_genomic	SGB513
SAMN03197889	SGB481
GCF_003494815.1_ASM349481v1_genomic	SGB511
GCF_000606505.1_Stap_aure_H89939_V1_genomic	SGB185
SAMN03854410	SGB237
SAMN03854412	SGB289
SAMN03854413	SGB514
GCF_900077605.1_12045_4_86_genomic	SGB288
GCF_001449675.1_WH-SGI-V-07180_genomic	SGB359
SAMEA2272374	SGB414
SAMEA2272375	SGB402
GCF_900022425.1_14555_5_35_genomic	SGB513
0756_546_1_1_MRSIHK1_S857-bin_1	SGB084
SAMN05425708	SGB122
GCF_002985425.1_ASM298542v1_genomic	SGB511
GCF_000597025.1_Stap_aure_H47224_V1_genomic	SGB185
SAMN00000654	SGB598
GCF_006334635.1_ASM633463v1_genomic	SGB513
GCF_000191285.1_ASM19128v2_genomic	SGB513
GCF_003799275.1_ASM379927v1_genomic	SGB513
SAMN00808888	SGB123
SAMN00808885	SGB123
SRS056796_bin_1	SGB600
SAMN00808886	SGB123
SAMN00808881	SGB123
SAMN00808880	SGB123
SAMN00808883	SGB123
SAMN00808882	SGB123
GCF_000579595.1_Stap_aure_H75423_V1_genomic	SGB185
SAMN02436279	SGB124
SAMN02436277	SGB125
GCF_000606385.1_Stap_aure_H32175_V1_genomic	SGB185
C0079E3	SGB464
GCF_001598675.1_ASM159867v1_genomic	SGB127
SAMN04324612	SGB128
GCF_900202125.1_R559_genomic	SGB513
GCF_001024955.1_ASM102495v1_genomic	SGB359
SAMEA3918979	SGB598
SAMN09734795	SGB599
GCF_000547805.1_Stap_aure_M0763_V1_genomic	SGB185
SAMEA3918971	SGB598
SAMEA3918972	SGB598
SAMEA3918973	SGB598
SAMEA3918974	SGB598
SAMEA3918975	SGB598
SAMEA3918976	SGB598
SAMEA3918977	SGB598
SAMN05185374	SGB095
SAMN05185370	SGB095
SAMN05185378	SGB095
GCF_003798845.1_ASM379884v1_genomic	SGB513
SAMEA3714883	SGB601
GCF_003599935.1	SGB405
GCF_000570615.1_Stap_aure_T89467_V1_genomic	SGB185
GCF_001909005.1_ASM190900v1_genomic	SGB511
GCF_900077575.1_12045_4_92_genomic	SGB238
MG_205763_bin_34	SGB096
MG_205763_bin_35	SGB349
MG_205763_bin_36	SGB243
MG_205763_bin_37	SGB346
MG_205763_bin_30	SGB570
MG_205763_bin_31	SGB569
GCF_002330215.1_ASM233021v1_genomic	SGB359
MG_205763_bin_39	SGB564
GCF_003996495.1_ASM399649v1_genomic	SGB513
GCF_900031465.1_14555_5_5_genomic	SGB513
GCF_002201385.1_ASM220138v1_genomic	SGB359
SAMN04395120	SGB283
SAMN04395122	SGB284
SRR5273937_bin_1	SGB266
SAMEA104338398	SGB563
GCF_001184555.1_ASM118455v1_genomic	SGB511
GCF_000545205.1_Stap_aure_M0910_V1_genomic	SGB185
GCF_000597545.1_Stap_aure_UCIM6049_V1_genomic	SGB185
SAMEA3893641	SGB603
SAMEA3893643	SGB603
SAMN08801587	SGB401
GCF_001037265.1_ASM103726v1_genomic	SGB359
SAMN10248968	SGB603
SAMN03277688	SGB401
GCA_000433575.1_MGS21_genomic	SGB280
01541192_bin_1	SGB416
SAMN03277682	SGB401
SAMN03277683	SGB401
SAMN03277684	SGB401
SAMN03277685	SGB401
f6_bin_1	SGB521
01541192_bin_7	SGB137
SAMN05003791	SGB560
SAMN05003793	SGB560
SAMN05003792	SGB560
SAMN05003795	SGB560
SAMN05003794	SGB560
SAMN05003796	SGB560
SAMN05003799	SGB560
GCF_900201595.1_R093_genomic	SGB513
SAMN04011435	SGB184
GCF_000790155.1_AZPAE14864_genomic	SGB359
GCF_001993215.1_ASM199321v1_genomic	SGB343
GCF_003355275.1_ASM335527v1_genomic	SGB513
SAMN02595364	SGB513
SAMEA1398275	SGB414
SAMN02595363	SGB603
SRR6748192_bin_5	SGB521
SRR6748192_bin_7	SGB061
SAMN02400164	SGB401
GCF_001071265.1_ASM107126v1_genomic	SGB343
SRR6748192_bin_2	SGB400
SAMN02400169	SGB401
SRR6748192_bin_8	SGB398
SAMN05185389	SGB095
GCF_000551005.1_Stap_aure_M0013_V1_genomic	SGB185
SAMN06111314	SGB603
GCF_003843365.1_INS-Nm995_genomic	SGB513
GCF_000958205.1_ASM95820v1_genomic	SGB399
GCF_900075185.1_12045_5_63_genomic	SGB238
GCF_000463315.1_B_cell_WH2_1.0_genomic	SGB396
GCF_900203385.1_22420_genomic	SGB513
GCF_001304675.1_ASM130467v1_genomic	SGB127
GCA_002885155.1_ASM288515v1_genomic	SGB056
GCF_002866785.1_ASM286678v1_genomic	SGB359
GCF_002236985.1_ASM223698v1_genomic	SGB359
GCF_001540085.1_12082_5_40_genomic	SGB597
SAMN09631739	SGB397
MG_205081_bin_8	SGB346
MG_205081_bin_1	SGB521
MG_205081_bin_5	SGB394
MG_205081_bin_4	SGB519
GCF_900457005.1_59449_G02_genomic	SGB395
GCF_001374315.1_292_15_321Ga_contigs_500_genomic	SGB359
SAMN05150778	SGB392
SAMN05150777	SGB392
MG_4007801349_bin_1	SGB521
GCF_000539995.1_Stap_aure_SJOS6022_V1_genomic	SGB185
0795_578_1_1_MRSIHK8_S787-bin_1	SGB393
SAMN10754256	SGB344
GCF_900022335.1_14355_4_20_genomic	SGB513
GCF_000794995.1_AZPAE14809_genomic	SGB359
SAMN02470843	SGB376
SAMN02470846	SGB447
GCA_000763925	SGB486
SAMN02470848	SGB345
C0083B3	SGB464
GCF_001180405.1_P4_London_1_VIM_2_10_07_genomic	SGB359
GCF_000481225.1_Pseu_aeru_BWH024_V1_genomic	SGB359
GCF_001547955.1_ASM154795v1_genomic	SGB359
C0002B3	SGB374
SAMN07267280	SGB373
SAMN02951916	SGB184
SAMN02951917	SGB344
SAMN03197920	SGB603
GCF_000603185.1_Stap_aure_H88188_V1_genomic	SGB185
GCF_000544465.1_Stap_aure_M0850_V1_genomic	SGB185
GCF_000551445.1_Stap_aure_M0046_V1_genomic	SGB185
GCF_006711145.1_ASM671114v1_genomic	SGB597
SAMEA1407089	SGB598
SAMEA1407088	SGB598
SAMEA1407081	SGB598
SAMEA1407080	SGB598
SAMEA1407083	SGB598
SAMEA1407082	SGB598
SAMEA1407085	SGB598
SAMEA1407084	SGB598
SAMEA1407087	SGB598
GCF_003799995.1_ASM379999v1_genomic	SGB513
MG_198301_bin_3	SGB245
MG_198301_bin_2	SGB380
MG_198301_bin_1	SGB379
MG_198301_bin_7	SGB378
MG_198301_bin_6	SGB377
GCF_000160195.1_ASM16019v1_genomic	SGB185
SAMN03785819	SGB242
SAMN03785818	SGB242
GCF_000248655.1_ASM24865v2_genomic	SGB185
SAMN02567633	SGB598
GCF_000442155.1_2425.1_genomic	SGB411
GCF_900022405.1_14355_7_64_genomic	SGB513
GCF_003492255.1_ASM349225v1_genomic	SGB513
SAMN00993291	SGB481
GCF_004127215.1_ASM412721v1_genomic	SGB361
SAMN04387840	SGB401
GCF_001374775.1_229_12_5Pc_5_contigs_500_genomic	SGB359
GCF_002242855.1_ASM224285v1_genomic	SGB359
GCF_002136275.1_ASM213627v1_genomic	SGB359
SAMN03895993	SGB408
GCF_900076955.1_12045_4_27_genomic	SGB238
MG_185347_bin_2	SGB569
GCF_000833745.1_ASM83374v1_genomic	SGB511
GCF_000530705.1_Stap_aure_M0311_V1_genomic	SGB185
GCF_002987705.1_ASM298770v1_genomic	SGB511
GCF_001991915.1_ASM199191v1_genomic	SGB343
GCF_004326135.1_ASM432613v1_genomic	SGB597
SAMN04046447	SGB401
SAMEA864245	SGB598
SAMEA864246	SGB598
GCF_001451535.1_WH-SGI-V-07427_genomic	SGB359
SAMN03339563	SGB513
GCF_000539835.1_Stap_aure_AMMC6014_V1_genomic	SGB185
SAMN05371063	SGB563
GCF_000550905.1_Stap_aure_M0008_V1_genomic	SGB185
ERR2244522_bin_1	SGB521
GCF_900200625.1_B232_genomic	SGB513
GCF_008329455.1_ASM832945v1_genomic	SGB360
GCA_001746265.2_ASM174626v2_genomic	SGB200
GCF_003798895.1_ASM379889v1_genomic	SGB513
GCF_900202545.1_R814_genomic	SGB513
GCA_003470035.1_ASM347003v1_genomic	SGB201
GCF_000604585.1_Stap_aure_F12915_V1_genomic	SGB185
GCF_002250035.1_ASM225003v1_genomic	SGB391
SAMEA3139103	SGB481
GCF_000525485.1_Stap_aure_DAR5866_V1_genomic	SGB185
GCF_006842785.1_ASM684278v1_genomic	SGB597
GCF_900030965.1_14355_5_20_genomic	SGB513
GCF_000572645.1_Stap_aure_SJOS6145_V1_genomic	SGB185
MG_178903_bin_14	SGB081
GCF_000575265.1_Stap_aure_M1168_V1_genomic	SGB185
MG_178903_bin_12	SGB520
SAMN04599967	SGB401
SAMN04599966	SGB401
GCF_002330165.1_ASM233016v1_genomic	SGB359
SAMN04599964	SGB401
SAMN04599963	SGB401
SAMN04599962	SGB401
SAMN04599961	SGB401
SAMN04599960	SGB401
GCA_000434895.1_MGS287_genomic	SGB203
GCF_900204465.1_22939_genomic	SGB513
GCF_006228165.1_ASM622816v1_genomic	SGB399
SAMN10458461	SGB281
GCF_000569555.1_Stap_aure_T44834_V1_genomic	SGB185
GCF_000570415.1_Stap_aure_W81816_V1_genomic	SGB185
GCF_000544105.1_Stap_aure_M0818_V1_genomic	SGB185
GCF_000543285.1_Stap_aure_OCMM6129_V1_genomic	SGB185
GCF_000533555.1_Stap_aure_M0277_V1_genomic	SGB185
SAMN00189118	SGB123
SAMN00189116	SGB123
SAMN00189115	SGB123
SAMN00189114	SGB123
SAMN00189113	SGB123
SAMN00189112	SGB123
SAMN00189111	SGB123
SAMN00189110	SGB123
GCF_000606245.1_Stap_aure_F48422_V1_genomic	SGB185
GCF_000562975.1_Stap_aure_T16117_V1_genomic	SGB185
SAMN03197578	SGB197
SAMN03197575	SGB481
SAMN03197577	SGB481
