MG_175836_bin_36	2.6143	SGB078	Anaerococcus_lactolyticus	North_America	H	P
MG_186472_bin_12	1.51342	SGB275	Corynebacterium_amycolatum	North_America	W	P
JKR_12_29_17_B04_S698-bin_1	1.77122	SGB275	Corynebacterium_amycolatum	South_Africa	Af	N
MG_256775_bin_6	1.54006	SGB275	Corynebacterium_amycolatum	North_America	H	P
MG_185275_bin_35	2.05456	SGB275	Corynebacterium_amycolatum	North_America	AA	P
C0103B2	1.42009	SGB277	Prevotella_melaninogenica	North_America	AA	P
AZ15_bin_2	3.43598	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
MG_198301_bin_28	1.96275	SGB277	Prevotella_melaninogenica	North_America	AA	P
0903_658_1_LKV_37B_S790-bin_1	1.57789	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
JKR_P2_37_E05_S805_001-bin_1	1.85579	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
JKR_P1_39_G05_S711_001-bin_1	1.54542	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
C0097D7	3.35842	SGB277	Prevotella_melaninogenica	North_America	Mix	P
JKR_P2_35_C05_S803_001-bin_1	1.77716	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
JKR_P1_40_H05_S712_001-bin_1	1.52404	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
JKR_P1_38_F05_S710_001-bin_1	1.60531	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
AZ1_bin_2	3.64545	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
JKR_P1_37_E05_S709_001-bin_1	1.65552	SGB277	Prevotella_melaninogenica	South_Africa	Af	N
E6_1456_1083_3_BDMRSCQ17_S159-bin_1-SPLIT	0.534606	SGB401	Listeria_monocytogenes	South_Africa	Af	N
ZD2_bin_1	0.0143503	SGB401	Listeria_monocytogenes	South_Africa	Af	N
ZD1_bin_1	0.0119496	SGB401	Listeria_monocytogenes	South_Africa	Af	N
MG_205763_bin_31	0.969064	SGB569	Mobiluncus_mulieris	North_America	AA	P
MG_185347_bin_2	1.10007	SGB569	Mobiluncus_mulieris	North_America	AA	P
FA1_bin_2	3.70638	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
MG_222388_bin_11	0.83078	SGB569	Mobiluncus_mulieris	North_America	AA	P
00510651_bin_10	1.17112	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
01000382_bin_1	1.68391	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
MG_224458_bin_6	1.96919	SGB569	Mobiluncus_mulieris	North_America	H	P
h6_bin_1	4.7688	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
FA15_bin_2	3.69409	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
BG1_bin_3	1.51342	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
JKR_P1_67_C09_S739_001-bin_1	1.32573	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
00280291_bin_4	2.17795	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
JKR_P1_63_G08_S735_001-bin_1	1.30638	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
MG_205819_bin_38	0.989629	SGB569	Mobiluncus_mulieris	North_America	AA	P
BI5_bin_1	1.30157	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
MG_222476_bin_11	1.24	SGB569	Mobiluncus_mulieris	North_America	AA	P
BG14_bin_1	1.5347	SGB569	Mobiluncus_mulieris	South_Africa	Af	N
0809_588_1_1_MRS11_S830-bin_3	1.57245	SGB242	Bifidobacterium_infantis	South_Africa	Af	N
MG_112861_bin_1	0.730426	SGB242	Bifidobacterium_infantis	North_America	AA	P
MG_112917_bin_1	1.39486	SGB242	Bifidobacterium_infantis	North_America	AA	P
MG_226769_bin_2	2.5484	SGB404	Bifidobacterium_breve	North_America	W	P
C0047B1	0.537869	SGB404	Bifidobacterium_breve	North_America	AA	P
C0031A3	0.574147	SGB404	Bifidobacterium_breve	North_America	AA	P
C0031B2	0.577481	SGB404	Bifidobacterium_breve	North_America	AA	P
C0031B3	0.628226	SGB404	Bifidobacterium_breve	North_America	AA	P
C0031B4	0.577481	SGB404	Bifidobacterium_breve	North_America	AA	P
C0019A1	1.06545	SGB404	Bifidobacterium_breve	North_America	W	P
C0019A2	1.06116	SGB404	Bifidobacterium_breve	North_America	W	P
C0019A5	1.06116	SGB404	Bifidobacterium_breve	North_America	W	P
C0019A4	1.06116	SGB404	Bifidobacterium_breve	North_America	W	P
MG_205763_bin_17	1.80108	SGB404	Bifidobacterium_breve	North_America	AA	P
MG_4004001379_bin_8	1.05261	SGB404	Bifidobacterium_breve	North_America	NA	P
C0047A4	0.547692	SGB404	Bifidobacterium_breve	North_America	AA	P
C0047A5	0.524853	SGB404	Bifidobacterium_breve	North_America	AA	P
C0047A2	0.528099	SGB404	Bifidobacterium_breve	North_America	AA	P
C0047A3	0.531349	SGB404	Bifidobacterium_breve	North_America	AA	P
MG_2009001269_bin_5	0.308338	SGB404	Bifidobacterium_breve	North_America	NA	P
C0095C5	0.197282	SGB404	Bifidobacterium_breve	North_America	AA	P
C0019A3	1.06116	SGB404	Bifidobacterium_breve	North_America	W	P
BI1_bin_2	1.62193	SGB404	Bifidobacterium_breve	South_Africa	Af	N
MG_1062101149_bin_3	1.09571	SGB404	Bifidobacterium_breve	North_America	NA	P
MG_4003901219_bin_11	2.10864	SGB404	Bifidobacterium_breve	North_America	NA	P
SRR5274031_bin_2	2.31524	SGB404	Bifidobacterium_breve	Italy	W	P
C0040B2	0.31121	SGB404	Bifidobacterium_breve	North_America	AA	P
C0040B3	0.31121	SGB404	Bifidobacterium_breve	North_America	AA	P
C0040B1	0.31121	SGB404	Bifidobacterium_breve	North_America	AA	P
C0046A3	0.390583	SGB404	Bifidobacterium_breve	North_America	AA	P
MG_2009001379_bin_3	1.10007	SGB404	Bifidobacterium_breve	North_America	NA	P
C0039A3	0.181236	SGB404	Bifidobacterium_breve	North_America	AA	P
C0039A2	0.178577	SGB404	Bifidobacterium_breve	North_America	AA	P
C0039A1	0.181236	SGB404	Bifidobacterium_breve	North_America	AA	P
C0039A4	0.181236	SGB404	Bifidobacterium_breve	North_America	AA	P
C0034C2	0.181236	SGB404	Bifidobacterium_breve	North_America	AA	P
C0034C5	0.181236	SGB404	Bifidobacterium_breve	North_America	AA	P
H9_bin_1	4.24367	SGB404	Bifidobacterium_breve	North_America	AA	M
BI13_bin_1	1.63866	SGB404	Bifidobacterium_breve	South_Africa	Af	N
C0095D6	0.167981	SGB404	Bifidobacterium_breve	North_America	AA	P
C0148A4	0.157453	SGB404	Bifidobacterium_breve	North_America	H	P
C0046A2	0.390583	SGB404	Bifidobacterium_breve	North_America	AA	P
C0046A5	0.393593	SGB404	Bifidobacterium_breve	North_America	AA	P
C0046A4	0.387578	SGB404	Bifidobacterium_breve	North_America	AA	P
NC_005362_1	0.0	SGB272	Lactobacillus_johnsonii	refSeq	NA	NA
MG_199199_bin_37	3.39141	SGB005	Ezakiella_coagulans	North_America	AA	P
MG_189662_bin_22	3.30427	SGB246	Gardnerella_vaginalis	North_America	AA	P
MG_177947_bin_30	3.10744	SGB246	Gardnerella_vaginalis	North_America	AA	P
MG_198301_bin_4	2.97077	SGB246	Gardnerella_vaginalis	North_America	AA	P
a7_bin_2	3.19897	SGB246	Gardnerella_vaginalis	South_Africa	Af	N
AC5_bin_1	3.03826	SGB246	Gardnerella_vaginalis	South_Africa	Af	N
C0179E4	1.7653	SGB246	Gardnerella_vaginalis	North_America	AA	P
C0179E3	1.74175	SGB246	Gardnerella_vaginalis	North_America	AA	P
C0179E1	1.7653	SGB246	Gardnerella_vaginalis	North_America	AA	P
MG_189598_bin_12	3.13762	SGB246	Gardnerella_vaginalis	North_America	AA	P
0809_588_1_1_MRSIHK3_S781-bin_2	6.26325	SGB171	Veillonella_montpellierensis	South_Africa	Af	N
AG4_bin_1	3.75603	SGB171	Veillonella_montpellierensis	South_Africa	Af	N
0809_588_1_1_CBA5_S800-bin_2	4.98292	SGB171	Veillonella_montpellierensis	South_Africa	Af	N
MG_4004001329_bin_17	3.83209	SGB171	Veillonella_montpellierensis	North_America	NA	P
MG_205209_bin_13	3.23015	SGB171	Veillonella_montpellierensis	North_America	AA	P
SRR6747967_bin_11	1.62749	SGB171	Veillonella_montpellierensis	North_America	Other	P
0756_546_1_1_MRSIHK6_S870-bin_1	5.47827	SGB171	Veillonella_montpellierensis	South_Africa	Af	N
AF10_bin_2	3.75603	SGB171	Veillonella_montpellierensis	South_Africa	Af	N
MG_198301_bin_60	4.61689	SGB171	Veillonella_montpellierensis	North_America	AA	P
MG_4005701249_bin_28	5.54283	SGB171	Veillonella_montpellierensis	North_America	NA	P
MG_189662_bin_26	3.34751	SGB416	Fannyhessea_vaginae	North_America	AA	P
01541192_bin_1	3.5505	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_174708_bin_3	2.36777	SGB416	Fannyhessea_vaginae	North_America	W	P
SRR6748170_bin_2	3.46987	SGB416	Fannyhessea_vaginae	North_America	H	P
0091G13	2.56472	SGB416	Fannyhessea_vaginae	North_America	NA	P
EE4_bin_1	3.71871	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
0950_701_1_1_Bru11_S818-bin_1	2.75126	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
0795_578_1_1_BHK4_S906-bin_1	3.74354	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
SRS013542_bin_8	2.81347	SGB416	Fannyhessea_vaginae	North_America	NA	N
C0104B2	2.78663	SGB416	Fannyhessea_vaginae	North_America	AA	P
MG_4008501299_bin_43	3.26168	SGB416	Fannyhessea_vaginae	North_America	NA	P
b9_bin_1	3.31502	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
n9_bin_2	3.63341	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
m8_bin_3	3.96325	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
SRS078686_bin_3	3.81928	SGB416	Fannyhessea_vaginae	North_America	NA	N
MG_1062101239_bin_1	2.62266	SGB416	Fannyhessea_vaginae	North_America	NA	P
0795_578_1_1_CBA3_S895-bin_1	3.79382	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
C0107B2	2.58115	SGB416	Fannyhessea_vaginae	North_America	W	P
MG_4003901259_bin_6	4.33296	SGB416	Fannyhessea_vaginae	North_America	NA	P
0795_578_1_1_CBA7_S898-bin_1	3.53885	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
H4_bin_2	3.34751	SGB416	Fannyhessea_vaginae	North_America	AA	M
BL7_bin_1	3.27227	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
F2_1463_1084_3_CBA7_S218-bin_1-SPLIT	3.00913	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
FB1_bin_8	3.30427	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
0756_546_1_1_CBA8_S887-bin_1	3.24062	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
SRR6748215_bin_2	3.5622	SGB416	Fannyhessea_vaginae	North_America	Pac	P
C0108B2	5.19203	SGB416	Fannyhessea_vaginae	North_America	AA	P
EE6_bin_1	3.78117	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_4008701169_bin_4	3.11746	SGB416	Fannyhessea_vaginae	North_America	NA	P
C0100C3	2.53218	SGB416	Fannyhessea_vaginae	North_America	AA	P
F3_1503_1114_2_CBA5_S226-bin_1-SPLIT	3.0875	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_185475_bin_4	2.63104	SGB416	Fannyhessea_vaginae	North_America	AA	P
MG_4003901219_bin_13	3.46987	SGB416	Fannyhessea_vaginae	North_America	NA	P
MG_205281_bin_2	3.20933	SGB416	Fannyhessea_vaginae	North_America	AA	P
C0091A5	2.56472	SGB416	Fannyhessea_vaginae	North_America	AA	P
a5_bin_2	4.3179	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_186847_bin_7	2.45258	SGB416	Fannyhessea_vaginae	North_America	H	P
SRR6748000_bin_3	2.45258	SGB416	Fannyhessea_vaginae	North_America	Other	P
MG_198301_bin_14	4.71738	SGB416	Fannyhessea_vaginae	North_America	AA	P
c11_bin_2	4.14262	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
SRR6748172_bin_1	2.80449	SGB416	Fannyhessea_vaginae	North_America	H	P
MG_4008801269_bin_4	4.63343	SGB416	Fannyhessea_vaginae	North_America	NA	P
MG_178955_bin_6	3.36937	SGB416	Fannyhessea_vaginae	North_America	W	P
BE6_bin_1	3.02852	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_222388_bin_8	2.44475	SGB416	Fannyhessea_vaginae	North_America	AA	P
MG_176887_bin_11	3.16813	SGB416	Fannyhessea_vaginae	North_America	AA	P
C0094H8	2.34513	SGB416	Fannyhessea_vaginae	North_America	AA	P
MG_205763_bin_51	3.29357	SGB416	Fannyhessea_vaginae	North_America	AA	P
c4_bin_3	2.79555	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
SRS146924_bin_6	2.42142	SGB416	Fannyhessea_vaginae	North_America	NA	N
FB10_bin_4	3.33664	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
E1_1694_1273_1_CBA5_S256-bin_1-SPLIT	2.88636	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
02361821_bin_4	3.35842	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_177947_bin_10	5.37328	SGB416	Fannyhessea_vaginae	North_America	AA	P
MG_4008501249_bin_22	3.38037	SGB416	Fannyhessea_vaginae	North_America	NA	P
MG_205209_bin_2	2.99949	SGB416	Fannyhessea_vaginae	North_America	AA	P
MG_205081_bin_32	2.94234	SGB416	Fannyhessea_vaginae	North_America	AA	P
SRR6748171_bin_2	2.77775	SGB416	Fannyhessea_vaginae	North_America	H	P
d5_bin_4	3.43598	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_205819_bin_30	3.44723	SGB416	Fannyhessea_vaginae	North_America	AA	P
SRS052859_bin_3	5.23149	SGB416	Fannyhessea_vaginae	North_America	NA	N
c1_bin_4	4.18553	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
BJ6_bin_2	3.25113	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
c9_bin_1	3.17837	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
h3_bin_6	3.76857	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
h3_bin_7	3.76857	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
SRS017497_bin_4	2.6819	SGB416	Fannyhessea_vaginae	North_America	NA	N
MG_185275_bin_31	4.7688	SGB416	Fannyhessea_vaginae	North_America	AA	P
d4_bin_2	3.57395	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_220502_bin_11	5.03867	SGB416	Fannyhessea_vaginae	North_America	AA	P
F3_1503_1114_2_CBA13_S258-bin_1-SPLIT	3.60949	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
e11_bin_3	3.30427	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_222781_bin_2	3.07758	SGB416	Fannyhessea_vaginae	North_America	AA	P
AA7_bin_4	4.17116	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
JKR_P1_59_C08_S731_001-bin_1	3.34751	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
MG_189598_bin_1	2.93293	SGB416	Fannyhessea_vaginae	North_America	AA	P
AF11_bin_8	3.36937	SGB416	Fannyhessea_vaginae	South_Africa	Af	N
SRR6748217_bin_1	3.81928	SGB416	Fannyhessea_vaginae	North_America	H	P
SRS011111_bin_17	2.87714	SGB416	Fannyhessea_vaginae	North_America	NA	N
MG_4004001329_bin_41	0.676872	SGB167	Olsenella_urininfantis	North_America	NA	P
MG_175836_bin_20	0.282712	SGB167	Olsenella_urininfantis	North_America	H	P
0795_578_1_1_MRSIHK8_S787-bin_1	1.79508	SGB393	Prevotella_disiens	South_Africa	Af	N
MG_4004001329_bin_45	1.23068	SGB393	Prevotella_disiens	North_America	NA	P
C0101B2	1.61084	SGB393	Prevotella_disiens	North_America	AA	P
C0108D4	1.50813	SGB393	Prevotella_disiens	North_America	AA	P
0756_546_1_1_LKV5_S442-bin_1	1.61084	SGB393	Prevotella_disiens	South_Africa	Af	N
C0026C5	1.64427	SGB393	Prevotella_disiens	North_America	AA	P
C0026C4	1.60531	SGB393	Prevotella_disiens	North_America	AA	P
C0026C1	1.64427	SGB393	Prevotella_disiens	North_America	AA	P
C0026C2	1.60531	SGB393	Prevotella_disiens	North_America	AA	P
F1_1457_1080_3_CBA7_S225-bin_1-SPLIT	1.65552	SGB393	Prevotella_disiens	South_Africa	Af	N
C0079B4	1.36991	SGB393	Prevotella_disiens	North_America	W	P
C0079B5	1.42009	SGB393	Prevotella_disiens	North_America	W	P
C0079B2	1.36002	SGB393	Prevotella_disiens	North_America	W	P
C0079B3	1.44049	SGB393	Prevotella_disiens	North_America	W	P
C0079B1	1.36991	SGB393	Prevotella_disiens	North_America	W	P
0795_578_1_1_BHK1_S417-bin_1	1.96275	SGB393	Prevotella_disiens	South_Africa	Af	N
C0106A3	1.67251	SGB393	Prevotella_disiens	North_America	AA	P
MG_175836_bin_21	1.44562	SGB393	Prevotella_disiens	North_America	H	P
MG_199199_bin_38	1.25875	SGB393	Prevotella_disiens	North_America	AA	P
0795_578_1_1_MRSIHK2_S858-bin_2	2.12234	SGB393	Prevotella_disiens	South_Africa	Af	N
MG_205081_bin_17	2.46043	SGB393	Prevotella_disiens	North_America	AA	P
C0098B3	1.20298	SGB393	Prevotella_disiens	North_America	AA	P
E7_1841_1391_1_BDMRSCQ9_S99-bin_1-SPLIT	1.88053	SGB393	Prevotella_disiens	South_Africa	Af	N
C0019E5	0.778092	SGB393	Prevotella_disiens	North_America	W	P
C0019E4	0.781808	SGB393	Prevotella_disiens	North_America	W	P
C0019E1	0.781808	SGB393	Prevotella_disiens	North_America	W	P
C0019E3	0.781808	SGB393	Prevotella_disiens	North_America	W	P
C0019E2	0.781808	SGB393	Prevotella_disiens	North_America	W	P
0795_578_1_1_MRSIHK7_S779-bin_1	1.68391	SGB393	Prevotella_disiens	South_Africa	Af	N
AF16_bin_1	4.39391	SGB393	Prevotella_disiens	South_Africa	Af	N
MG_4008501299_bin_27	1.42009	SGB393	Prevotella_disiens	North_America	NA	P
C0064D2	1.07405	SGB393	Prevotella_disiens	North_America	AA	P
C0064D1	1.07405	SGB393	Prevotella_disiens	North_America	AA	P
C0064D5	1.07405	SGB393	Prevotella_disiens	North_America	AA	P
AF11_bin_6	1.72424	SGB393	Prevotella_disiens	South_Africa	Af	N
C0024D4	2.30043	SGB390	Gleimia_europaea	North_America	AA	P
C0024D5	2.2205	SGB390	Gleimia_europaea	North_America	AA	P
C0024D1	2.30782	SGB390	Gleimia_europaea	North_America	AA	P
MG_224410_bin_10	0.770681	SGB390	Gleimia_europaea	North_America	H	P
F4_1630_1235_1_CBA10_S283-bin_1-SPLIT	1.47145	SGB317	Fusobacterium_gonidiaformans	South_Africa	Af	N
JKR_P1_86_F11_S758_001-bin_1	3.27227	SGB554	Dialister_micraerophilus	South_Africa	Af	N
MG_4008501299_bin_41	3.15792	SGB554	Dialister_micraerophilus	North_America	NA	P
JKR_P1_53_E07_S725_001-bin_1	4.1003	SGB554	Dialister_micraerophilus	South_Africa	Af	N
SRS011111_bin_4	3.12752	SGB554	Dialister_micraerophilus	North_America	NA	N
MG_4005701249_bin_33	3.2829	SGB554	Dialister_micraerophilus	North_America	NA	P
MG_198301_bin_45	3.48125	SGB554	Dialister_micraerophilus	North_America	AA	P
SRR6747967_bin_10	3.00913	SGB554	Dialister_micraerophilus	North_America	Other	P
MG_175836_bin_46	1.94352	SGB554	Dialister_micraerophilus	North_America	H	P
MG_205819_bin_37	3.70638	SGB554	Dialister_micraerophilus	North_America	AA	P
0809_588_1_1_MRSIHK7_S781-bin_1	1.38485	SGB009	Bifidobacterium_adolescentis	South_Africa	Af	N
0809_588_1_1_MRSI8_S843-bin_1	1.46626	SGB009	Bifidobacterium_adolescentis	South_Africa	Af	N
MG_226813_bin_9	1.99514	SGB559	Corynebacterium_tuscaniense	North_America	W	P
MG_4008801239_bin_10	1.31603	SGB559	Corynebacterium_tuscaniense	North_America	NA	P
MG_112597_bin_1	2.02797	SGB559	Corynebacterium_tuscaniense	North_America	W	P
JKR_P2_01_A01_S769_001-bin_1	5.37328	SGB413	Prevotella_intermedia	South_Africa	Af	N
JKR_P2_05_E01_S773_001-bin_1	3.71871	SGB413	Prevotella_intermedia	South_Africa	Af	N
1020_753_1_LKV_97B_S804-bin_1	3.7311	SGB413	Prevotella_intermedia	South_Africa	Af	N
E7_1841_1391_1_CBA3_S97-bin_1-SPLIT	2.88636	SGB243	uSGB	South_Africa	Af	N
MG_205763_bin_36	2.24204	SGB243	uSGB	North_America	AA	P
C0015B2	0.37263	SGB415	Lactobacillus_gasseri	North_America	W	P
C0163A3	0.181236	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0045A5	0.263042	SGB415	Lactobacillus_gasseri	North_America	AA	P
MG_192558_bin_2	2.17093	SGB415	Lactobacillus_gasseri	North_America	W	P
MG_192494_bin_5	1.21217	SGB415	Lactobacillus_gasseri	North_America	W	P
C0045B1	0.279888	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0150A3	0.366686	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0150A4	0.366686	SGB415	Lactobacillus_gasseri	North_America	AA	P
MG_112861_bin_3	1.51872	SGB415	Lactobacillus_gasseri	North_America	AA	P
SRS011269_bin_2	1.77122	SGB415	Lactobacillus_gasseri	North_America	NA	N
C0046B5	0.181236	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0046B2	0.181236	SGB415	Lactobacillus_gasseri	North_America	AA	P
EM006	1.40492	SGB415	Lactobacillus_gasseri	North_America	NA	P
MG_213746_bin_1	1.63866	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0015A5	0.343111	SGB415	Lactobacillus_gasseri	North_America	W	P
C0015A4	0.331442	SGB415	Lactobacillus_gasseri	North_America	W	P
C0015A1	0.363721	SGB415	Lactobacillus_gasseri	North_America	W	P
C0015A2	0.363721	SGB415	Lactobacillus_gasseri	North_America	W	P
MG_213562_bin_1	1.45592	SGB415	Lactobacillus_gasseri	North_America	AA	P
MG_112797_bin_2	2.48413	SGB415	Lactobacillus_gasseri	North_America	AA	P
AN3_bin_1	0.378594	SGB415	Lactobacillus_gasseri	South_Africa	Af	N
C0163A4	0.181236	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0163A2	0.181236	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0163A1	0.181236	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0164A1	0.149601	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0164A2	0.181236	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0164A3	0.1839	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0164A4	0.1839	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0164A5	0.202665	SGB415	Lactobacillus_gasseri	North_America	AA	P
MG_192686_bin_7	2.83151	SGB415	Lactobacillus_gasseri	North_America	W	P
MG_112917_bin_2	1.45076	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0015A3	0.363721	SGB415	Lactobacillus_gasseri	North_America	W	P
C0015B1	0.408721	SGB415	Lactobacillus_gasseri	North_America	W	P
C0015B3	0.37263	SGB415	Lactobacillus_gasseri	North_America	W	P
C0015B4	0.408721	SGB415	Lactobacillus_gasseri	North_America	W	P
C0015B5	0.411762	SGB415	Lactobacillus_gasseri	North_America	W	P
CM2267_MRS2_S780-bin_1	0.0981871	SGB415	Lactobacillus_gasseri	North_America	W	N
C0072A4	0.060662	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0072A5	0.058191	SGB415	Lactobacillus_gasseri	North_America	AA	P
C0072A1	0.058191	SGB415	Lactobacillus_gasseri	North_America	AA	P
MG_189662_bin_20	1.0441	SGB245	uSGB	North_America	AA	P
MG_198301_bin_3	0.952763	SGB245	uSGB	North_America	AA	P
FC13_bin_5	0.881017	SGB245	uSGB	South_Africa	Af	N
MG_224458_bin_12	0.912584	SGB245	uSGB	North_America	H	P
SRS078686_bin_14	0.861543	SGB245	uSGB	North_America	NA	N
BL4_bin_2	1.37986	SGB245	uSGB	South_Africa	Af	N
n3_bin_4	1.17112	SGB245	uSGB	South_Africa	Af	N
MG_185275_bin_19	0.916565	SGB245	uSGB	North_America	AA	P
n6_bin_3	1.23533	SGB245	uSGB	South_Africa	Af	N
